Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,target
27.23,41.74,91,413,12772,20636,937.484,1.68,1.74,11.55,1.8,0.041,1314,0
17.272,51.33,1048,400,12912,19463,938.694,1.98,2.06,13.65,2.129,0.048,17764,1
-8.464,55.32,145,400,13189,20121,939.635,1.26,1.31,8.69,1.355,0.031,6052,1
26.85,47.86,1344,419,12984,19393,938.794,1.86,1.93,12.79,1.995,0.045,24382,1
26.29,51.09,1375,400,12981,19401,938.7,1.53,1.59,10.52,1.64,0.037,23405,1
28.56,41.57,82,400,12918,20640,937.431,1.92,1.99,13.2,2.059,0.047,3404,0
24.43,53.7,1126,408,12882,19445,938.797,1.71,1.78,11.77,1.835,0.041,15960,1
20.29,52.35,45,400,13237,20178,939.665,2.29,2.38,15.79,2.463,0.056,4899,1
21.71,58.69,741,911,12674,19542,939.149,2.66,2.76,18.31,2.855,0.064,9720,1
17.657,49.64,1201,416,12902,19436,938.705,1.76,1.83,12.11,1.889,0.043,17854,1
16.028,45.65,96,403,12824,20672,937.501,2.12,2.21,14.62,2.28,0.051,605,0
26.22,46.5,129,404,12790,20598,937.388,1.9,1.98,13.11,2.044,0.046,1863,0
16.31,54.26,43,400,13121,20007,939.609,0.66,0.69,4.56,0.711,0.016,1752,0
3.67,47.78,1379,412,12947,19384,938.695,1.77,1.84,12.18,1.899,0.043,20960,1
26.0,47.03,1239,455,12858,19414,938.816,1.85,1.92,12.71,1.983,0.045,15451,1
13.758,42.32,159,421,12775,20558,937.329,1.71,1.77,11.74,1.83,0.041,2684,0
27.08,47.29,1174,429,12873,19426,938.797,1.93,2.0,13.28,2.071,0.047,15684,1
24.62,52.9,1120,493,12848,19448,938.924,1.9,1.97,13.08,2.04,0.046,14089,1
12.477,40.4,0,400,13459,21302,937.393,2.16,2.24,14.84,2.315,0.052,3749,0
20.4,51.05,110,400,13228,20101,939.644,2.27,2.36,15.6,2.433,0.055,4358,1
-4.899,51.06,237,400,13141,20030,939.525,0.57,0.59,3.9,0.608,0.014,7149,1
-8.862,42.16,57,400,12799,20665,937.47,2.07,2.15,14.23,2.219,0.05,1352,0
5.819,48.3,1044,667,12795,19466,939.058,2.19,2.27,15.05,2.347,0.053,10956,1
26.19,47.51,157,426,12772,20563,937.348,1.44,1.5,9.93,1.548,0.035,2763,0
28.39,42.77,135,400,12791,20597,937.358,2.25,2.34,15.52,2.42,0.055,2072,0
18.88,55.42,219,400,13142,20053,939.602,0.57,0.6,3.95,0.617,0.014,6648,1
15.63,54.51,9,400,13107,20007,939.673,0.48,0.5,3.29,0.514,0.012,1515,0
24.52,44.63,0,400,13407,21212,937.388,2.18,2.26,14.98,2.336,0.053,3735,0
44.88,16.73,699,400,13703,20497,936.695,0.78,0.81,5.33,0.832,0.019,5703,0
46.94,15.73,996,400,13713,20415,936.705,0.59,0.62,4.09,0.638,0.014,5639,0
26.99,47.52,1157,443,12865,19447,938.829,1.85,1.93,12.76,1.989,0.045,15319,1
26.05,47.11,138,415,12779,20584,937.348,1.93,2.01,13.3,2.073,0.047,1986,0
-4.208,50.04,271,400,13124,19999,939.482,0.63,0.65,4.3,0.671,0.015,7505,1
24.73,52.59,1163,467,12861,19437,938.879,1.68,1.74,11.55,1.801,0.041,14625,1
22.45,47.44,95,400,13228,20116,939.64,2.08,2.16,14.33,2.235,0.05,4229,1
17.802,49.34,1101,400,12911,19456,938.719,1.81,1.88,12.47,1.944,0.044,17888,1
24.44,53.77,1243,417,12906,19428,938.715,1.81,1.88,12.47,1.944,0.044,18119,1
-9.275,52.75,0,400,13279,20267,939.755,2.49,2.58,17.12,2.669,0.06,5524,1
24.59,52.96,1247,400,12999,19417,938.781,1.81,1.88,12.47,1.945,0.044,24344,1
24.76,51.02,1080,626,12802,19453,939.062,1.88,1.95,12.93,2.017,0.046,11617,1
20.34,64.03,675,719,12770,19583,939.153,2.42,2.51,16.63,2.593,0.059,9496,1
11.027,50.25,191,400,13142,19985,939.656,0.71,0.74,4.89,0.763,0.017,3046,0
26.41,50.69,1147,400,12916,19453,938.695,1.4,1.45,9.6,1.497,0.034,18185,1
21.89,58.39,0,400,13350,20339,939.685,2.57,2.67,17.68,2.757,0.062,3209,1
12.09,53.27,1105,410,12878,19453,938.774,1.95,2.03,13.43,2.094,0.047,16011,1
45.63,29.81,11458,400,12824,19231,936.886,0.51,0.53,3.48,0.543,0.012,4345,0
-21.973,48.04,1350,404,12971,19383,938.722,1.79,1.86,12.32,1.922,0.043,23061,1
20.6,52.49,350,400,13075,19911,939.25,0.3,0.31,2.03,0.317,0.007,8886,1
18.89,55.72,191,400,13150,20063,939.651,0.59,0.62,4.07,0.635,0.014,6476,1
18.58,55.5,257,400,13120,19998,939.477,0.45,0.47,3.1,0.484,0.011,7352,1
-6.689,48.58,57,400,13242,20150,939.645,1.99,2.07,13.7,2.136,0.048,4695,1
17.606,52.42,1117,495,12851,19454,938.911,1.64,1.7,11.28,1.759,0.04,14024,1
-5.237,45.66,129,420,12778,20586,937.351,1.86,1.93,12.8,1.995,0.045,2099,0
20.22,52.23,134,400,13219,20087,939.616,1.79,1.86,12.33,1.923,0.043,4005,1
24.71,52.73,1088,433,12871,19454,938.828,1.9,1.97,13.06,2.037,0.046,15166,1
19.92,59.83,318,400,13115,19891,939.691,1.16,1.21,8.01,1.249,0.028,3474,1
24.47,53.65,1164,406,12881,19435,938.744,1.54,1.6,10.6,1.653,0.037,16439,1
20.83,51.36,363,400,13067,19904,939.272,0.39,0.4,2.66,0.415,0.009,8950,1
24.8,52.2,1356,406,12964,19390,938.722,1.95,2.03,13.44,2.096,0.047,21879,1
20.96,49.89,306,400,13106,19947,939.407,0.19,0.2,1.31,0.204,0.005,8061,1
-15.769,48.95,1346,400,12962,19392,938.697,1.91,1.99,13.17,2.054,0.046,22211,1
18.029,47.54,1096,500,12853,19450,938.916,1.8,1.87,12.37,1.929,0.044,13936,1
20.94,45.92,121,400,13178,20058,939.627,1.01,1.05,6.98,1.088,0.025,2790,0
37.39,14.86,0,1100,13017,20662,930.872,1.06,1.1,7.3,1.139,0.026,797,1
7.981,52.0,1080,400,13005,19467,938.727,2.63,2.73,18.1,2.823,0.064,20687,1
20.95,50.12,313,400,13109,19954,939.396,0.21,0.21,1.42,0.221,0.005,8172,1
-15.206,47.74,1362,407,12961,19390,938.71,2.28,2.37,15.69,2.447,0.055,22166,1
27.84,47.09,192,411,12775,20524,937.414,1.28,1.33,8.81,1.374,0.031,3325,0
2.407,27.47,14355,400,12891,19093,936.842,26.2,27.22,180.35,28.123,0.635,4834,0
20.642,48.08,1251,404,12923,19421,938.69,1.85,1.93,12.76,1.99,0.045,19216,1
-17.443,53.15,1419,412,12971,19371,938.71,1.73,1.79,11.89,1.854,0.042,23803,1
26.96,47.74,1122,400,12898,19444,938.779,1.88,1.96,12.96,2.021,0.046,17119,1
26.75,48.43,1364,400,12966,19387,938.748,1.75,1.82,12.07,1.882,0.043,22395,1
27.042,49.89,19,400,13059,19952,939.783,0.43,0.45,2.97,0.463,0.01,1154,0
19.72,47.96,2,400,13169,20072,939.651,1.02,1.06,7.05,1.1,0.025,2138,0
24.44,53.37,1073,527,12840,19457,938.914,2.17,2.25,14.91,2.325,0.053,13080,1
25.38,48.84,1253,425,12893,19421,938.709,1.56,1.62,10.73,1.674,0.038,17973,1
25.07,47.89,201,1468,12962,19771,931.202,8800.06,15900.93,43587.59,17527.109,6773.234,103,1
26.44,50.22,1101,485,12855,19452,938.934,2.04,2.12,14.05,2.191,0.049,13925,1
24.65,52.8,1143,506,12844,19443,938.908,2.22,2.3,15.25,2.378,0.054,13909,1
26.61,49.16,1346,400,12975,19394,938.731,1.89,1.96,13.01,2.029,0.046,22870,1
26.41,50.66,1074,400,12908,19460,938.72,1.58,1.64,10.87,1.695,0.038,17645,1
20.58,51.76,299,400,13112,19957,939.397,0.25,0.26,1.71,0.267,0.006,8043,1
18.002,43.28,157,426,12778,20570,937.422,1.65,1.72,11.38,1.775,0.04,2794,0
26.95,47.79,1247,411,12906,19425,938.698,1.97,2.05,13.55,2.113,0.048,18379,1
24.51,53.54,1339,417,12955,19386,938.718,2.23,2.32,15.36,2.396,0.054,21709,1
18.79,54.2,352,400,13087,19921,939.347,0.31,0.32,2.11,0.329,0.007,8521,1
24.71,52.99,1189,407,12911,19431,938.693,1.39,1.44,9.54,1.488,0.034,18885,1
24.64,52.93,1260,400,12947,19414,938.759,1.94,2.01,13.33,2.079,0.047,20324,1
26.02,47.42,116,401,12782,20634,937.523,2.18,2.27,15.03,2.344,0.053,1100,0
-7.726,55.63,181,400,13165,20083,939.649,0.78,0.81,5.37,0.837,0.019,6298,1
46.26,16.49,53,400,13554,21096,936.81,0.98,1.02,6.76,1.054,0.024,4716,0
-2.494,50.74,847,720,12770,19525,939.13,2.29,2.38,15.78,2.461,0.056,10064,1
26.0,53.09,1074,400,12914,19459,938.745,1.53,1.59,10.51,1.639,0.037,17522,1
-8.752,48.57,39,400,13241,20182,939.679,1.62,1.69,11.17,1.742,0.039,5123,1
-1.859,57.11,950,726,12767,19489,939.09,2.39,2.49,16.47,2.568,0.058,10156,1
15.765,49.04,1084,599,12813,19452,939.028,1.85,1.93,12.75,1.989,0.045,11888,1
27.82,47.14,177,405,12777,20538,937.39,1.77,1.84,12.19,1.9,0.043,3265,0
11.747,47.39,1051,625,12803,19463,939.089,2.41,2.51,16.61,2.589,0.058,11489,1
9.207,46.47,896,400,13034,19507,938.738,2.38,2.47,16.36,2.551,0.058,20605,1
26.32,51.09,1310,400,12984,19403,938.717,1.74,1.8,11.94,1.862,0.042,23225,1
20.331,53.23,1109,564,12827,19457,938.989,2.0,2.08,13.78,2.149,0.049,12600,1
-15.965,47.72,1337,410,12968,19395,938.704,2.03,2.11,13.98,2.181,0.049,22227,1
24.43,53.29,1040,545,12834,19471,938.904,2.08,2.17,14.35,2.237,0.051,12839,1
24.58,53.27,1176,415,12881,19440,938.741,1.49,1.54,10.23,1.595,0.036,16431,1
24.37,53.98,1329,400,12955,19395,938.699,1.93,2.0,13.25,2.066,0.047,21359,1
24.18,52.97,1027,665,12792,19473,939.055,2.54,2.64,17.49,2.727,0.062,10917,1
24.58,52.71,1128,400,12978,19442,938.763,2.01,2.09,13.81,2.154,0.049,20447,1
-6.306,41.39,84,400,12792,20645,937.411,1.98,2.06,13.62,2.124,0.048,1541,0
12.138,47.24,1176,425,12872,19438,938.816,1.53,1.59,10.51,1.639,0.037,15504,1
25.17,50.01,1134,449,12868,19447,938.82,1.51,1.57,10.37,1.617,0.037,15155,1
19.53,49.73,1320,438,12900,19412,938.728,1.6,1.66,11.03,1.72,0.039,18334,1
24.47,53.55,1212,415,12882,19431,938.779,1.76,1.83,12.12,1.89,0.043,16135,1
27.11,47.27,1153,400,12916,19447,938.708,2.03,2.11,13.96,2.177,0.049,18150,1
11.39,54.43,31,400,12632,19698,939.798,0.11,0.2,0.59,0.214,0.077,265,0
12.009,51.66,1220,430,12870,19423,938.809,2.18,2.26,14.98,2.336,0.053,15699,1
-9.266,40.65,67,400,12784,20658,937.492,2.34,2.44,16.13,2.515,0.057,1252,0
-8.638,42.78,95,406,12775,20629,937.463,1.84,1.91,12.66,1.974,0.045,1375,0
26.95,47.85,1222,400,12913,19426,938.702,1.81,1.88,12.48,1.945,0.044,18799,1
25.06,50.28,1170,400,12971,19443,938.732,2.16,2.24,14.86,2.317,0.052,20556,1
22.56,51.58,336,400,13109,19879,939.665,1.35,1.4,9.27,1.446,0.033,3623,1
24.44,48.93,250,400,13010,20907,937.008,1.64,1.7,11.29,1.761,0.04,3912,0
25.91,47.5,82,400,12784,20637,937.468,1.84,1.91,12.68,1.977,0.045,1399,0
20.25,54.26,299,400,13117,19968,939.408,0.4,0.41,2.72,0.425,0.01,8268,1
21.19,50.34,195,400,13155,20065,939.604,0.85,0.88,5.83,0.91,0.021,6612,1
-5.147,54.94,253,400,13127,20024,939.574,0.3,0.31,2.06,0.321,0.007,7060,1
-5.175,61.99,567,573,12851,19698,939.225,2.53,2.63,17.44,2.72,0.061,9266,1
26.96,47.72,1231,400,12928,19418,938.749,1.56,1.62,10.76,1.678,0.038,20064,1
15.885,50.83,1157,415,12893,19432,938.748,1.47,1.52,10.09,1.574,0.036,17436,1
51.4,23.26,33051,750,12628,18724,936.93,0.68,0.71,4.7,0.732,0.017,4513,0
-4.713,50.16,329,400,13100,19928,939.354,0.28,0.29,1.9,0.296,0.007,8458,1
28.87,42.26,191,426,12773,20536,937.336,1.64,1.71,11.31,1.764,0.04,3049,0
27.026,41.52,84,429,12835,20697,937.572,2.21,2.29,15.18,2.368,0.053,208,0
24.41,53.89,1312,402,12956,19401,938.728,1.66,1.72,11.41,1.779,0.04,21595,1
-15.471,53.43,1410,413,12958,19375,938.709,1.81,1.88,12.44,1.94,0.044,22187,1
20.73,48.75,41,400,13243,20194,939.719,2.21,2.29,15.2,2.37,0.054,5311,1
-4.084,55.45,261,400,13138,20005,939.457,0.4,0.41,2.73,0.425,0.01,7705,1
-12.743,47.81,1352,400,12967,19393,938.729,2.0,2.08,13.8,2.152,0.049,21983,1
24.917,52.96,17,400,13141,20036,939.596,1.12,1.17,7.72,1.204,0.027,1687,0
-4.1,46.72,127,417,12783,20597,937.411,1.91,1.99,13.17,2.053,0.046,1804,0
13.968,47.07,1143,459,12867,19444,938.844,1.89,1.96,13.0,2.027,0.046,14788,1
20.84,46.29,101,400,13188,20090,939.638,0.98,1.02,6.75,1.053,0.024,2732,0
22.22,48.31,130,400,13222,20088,939.657,1.85,1.92,12.7,1.981,0.045,4156,1
21.84,50.1,22,400,13263,20233,939.682,2.11,2.19,14.5,2.262,0.051,5712,1
18.31,56.63,301,400,13112,19960,939.407,0.26,0.27,1.79,0.28,0.006,7866,1
20.83,47.92,168,400,13158,20007,939.625,0.95,0.99,6.53,1.018,0.023,3130,0
21.25,57.76,505,615,12834,19760,939.239,2.03,2.11,13.95,2.176,0.049,9227,1
7.893,64.44,212,400,13178,20003,939.7,2.27,2.36,15.65,2.44,0.055,3297,1
18.31,57.07,337,400,13092,19927,939.326,0.2,0.2,1.36,0.212,0.005,8485,1
24.68,52.97,1415,409,12971,19378,938.706,1.78,1.85,12.24,1.909,0.043,23802,1
-3.746,56.11,756,940,12652,19529,939.145,2.31,2.4,15.92,2.483,0.056,9837,1
22.32,49.03,235,400,13157,19984,939.682,1.44,1.5,9.94,1.55,0.035,3734,1
25.208,55.24,24,400,13126,20013,939.616,0.64,0.67,4.41,0.688,0.016,1640,0
11.715,47.53,1073,626,12807,19459,939.097,2.36,2.45,16.24,2.533,0.057,11486,1
25.99,48.49,212,443,12763,20507,937.413,1.5,1.55,10.3,1.606,0.036,3309,0
25.28,47.8,965,400,13015,19478,938.717,2.35,2.44,16.16,2.52,0.057,20613,1
24.52,53.15,1163,532,12831,19431,938.904,1.62,1.69,11.16,1.741,0.039,13377,1
-2.249,41.87,144,408,12787,20581,937.325,1.89,1.97,13.02,2.03,0.046,2321,0
13.803,53.24,1339,424,12915,19390,938.741,1.53,1.59,10.54,1.644,0.037,20264,1
-18.176,53.7,1387,410,12973,19382,938.738,1.67,1.74,11.53,1.797,0.041,23749,1
22.63,51.2,328,400,13106,19881,939.669,1.41,1.47,9.72,1.516,0.034,3628,1
25.26,49.73,1320,438,12900,19412,938.728,1.6,1.66,11.03,1.72,0.039,18334,1
12.071,51.71,1143,429,12876,19441,938.789,2.05,2.13,14.13,2.204,0.05,15579,1
-0.246,47.98,1348,405,12954,19398,938.681,2.19,2.28,15.08,2.352,0.053,21197,1
25.24,49.64,1256,422,12883,19420,938.774,1.47,1.53,10.15,1.582,0.036,17194,1
20.793,50.71,1197,400,12925,19427,938.715,1.94,2.02,13.36,2.083,0.047,19025,1
25.4,48.53,1161,513,12844,19446,938.907,1.93,2.01,13.31,2.075,0.047,14133,1
11.722,50.88,178,400,13139,19991,939.661,0.87,0.9,5.98,0.932,0.021,2990,0
20.061,52.88,1136,519,12846,19445,938.876,1.86,1.93,12.77,1.991,0.045,13431,1
13.148,47.94,1111,445,12866,19452,938.83,2.06,2.15,14.21,2.216,0.05,15014,1
14.759,52.71,1124,404,12897,19445,938.78,1.87,1.94,12.86,2.005,0.045,17144,1
-4.725,54.53,333,400,13090,19921,939.349,0.27,0.28,1.88,0.293,0.007,8467,1
20.431,49.13,1176,590,12815,19438,938.974,2.25,2.34,15.52,2.42,0.055,12634,1
26.53,49.65,1117,497,12850,19453,938.91,2.09,2.17,14.4,2.246,0.051,13806,1
-4.081,50.32,285,400,13126,19980,939.416,0.47,0.49,3.26,0.509,0.011,7775,1
36.94,15.47,0,822,13165,20786,930.876,1.16,1.2,7.95,1.24,0.028,802,1
-5.609,50.91,228,400,13144,20047,939.598,0.39,0.41,2.7,0.421,0.009,6911,1
-9.152,52.31,26,400,13263,20226,939.694,2.31,2.4,15.87,2.475,0.056,5705,1
24.54,52.91,1132,554,12834,19457,938.931,1.79,1.86,12.29,1.917,0.043,12771,1
-13.868,48.59,1367,400,12978,19382,938.746,1.77,1.84,12.22,1.905,0.043,24015,1
20.2,52.72,39,400,13251,20173,939.679,2.38,2.47,16.36,2.55,0.058,4841,1
26.74,48.27,1281,400,12957,19408,938.718,2.27,2.36,15.62,2.435,0.055,21315,1
20.96,50.91,228,400,13144,20047,939.598,0.39,0.41,2.7,0.421,0.009,6911,1
18.5,55.55,290,400,13117,19981,939.448,0.37,0.38,2.53,0.395,0.009,7635,1
26.4,46.27,90,400,12777,20640,937.499,2.37,2.47,16.34,2.548,0.058,1085,0
-21.721,47.93,1268,400,12981,19411,938.732,1.59,1.65,10.96,1.709,0.039,22943,1
-9.418,52.16,1356,410,12959,19392,938.701,1.95,2.03,13.43,2.095,0.047,21759,1
25.4,48.43,1220,549,12827,19430,938.866,2.17,2.25,14.92,2.327,0.053,13473,1
26.74,48.54,1341,400,12986,19397,938.708,1.81,1.88,12.46,1.943,0.044,23715,1
26.48,49.83,1300,400,12958,19397,938.684,1.81,1.88,12.48,1.946,0.044,21187,1
26.398,55.3,6,400,12910,19874,939.796,0.16,0.17,1.12,0.175,0.004,688,0
15.966,47.8,1141,467,12854,19446,938.916,2.31,2.4,15.89,2.478,0.056,14354,1
12.392,39.69,0,400,13118,20947,937.447,2.11,2.19,14.54,2.267,0.051,3521,0
12.109,48.03,1189,403,12884,19440,938.771,1.8,1.87,12.4,1.934,0.044,16034,1
24.4,53.21,1059,595,12822,19465,939.009,2.31,2.4,15.92,2.482,0.056,12176,1
-21.878,47.94,1320,400,12975,19405,938.719,1.63,1.69,11.23,1.751,0.04,23003,1
24.34,53.97,1333,406,12955,19392,938.709,1.74,1.81,12.01,1.873,0.042,21420,1
12.321,50.35,1084,417,12881,19452,938.817,1.75,1.81,12.01,1.874,0.042,15365,1
24.36,53.94,1300,400,12950,19406,938.689,1.99,2.07,13.72,2.14,0.048,21298,1
24.8,52.5,1140,400,12909,19448,938.713,1.62,1.69,11.17,1.741,0.039,17742,1
