Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,target
1,25.5,0,0.0,12,250.8333333,0.0,0.016666667,0.0,0.0,5,3,2,2,1,2,True,False
0,0.0,0,0.0,25,812.0,0.0,0.008,0.0,0.0,5,2,2,1,1,2,False,False
1,11.88888889,0,0.0,111,3510.879903,9.83e-05,0.009438427,12.01656549,0.0,5,3,2,5,2,2,False,False
5,51.5,0,0.0,2,6.0,0.0,0.033333333,0.0,0.0,5,2,5,2,1,2,False,False
0,0.0,0,0.0,5,239.0,0.0,0.04,0.0,0.0,5,2,2,9,1,2,False,False
0,0.0,0,0.0,6,44.0,0.066666667,0.1,0.0,0.0,5,2,2,3,1,2,False,False
3,90.0,0,0.0,25,397.8846154,0.005333333,0.033504762,0.0,0.0,5,2,2,1,1,2,True,False
5,197.0,4,246.0,17,427.0833333,0.0,0.008695652,0.0,0.0,5,1,1,3,2,0,False,False
0,0.0,0,0.0,2,24.0,0.0,0.1,0.0,0.0,5,2,6,1,2,2,False,False
8,237.5,4,142.0,30,1569.625,0.0,0.008108108,15.88906362,0.0,5,1,2,1,9,2,True,True
0,0.0,0,0.0,6,192.0,0.0,0.04,0.0,0.0,5,2,10,4,3,2,False,False
2,74.0,0,0.0,13,429.0,0.013333333,0.040444444,0.0,0.0,5,2,4,3,6,2,False,False
2,37.0,0,0.0,15,208.5,0.0,0.011764706,0.0,0.0,5,2,2,3,2,0,True,False
2,26.0,0,0.0,19,3277.0,0.015789474,0.037894737,0.0,0.0,5,2,2,4,6,2,False,False
0,0.0,0,0.0,14,2425.0,0.0,0.007142857,0.0,0.0,5,2,2,1,3,2,False,False
0,0.0,0,0.0,15,638.6428571,0.003571429,0.053571429,0.0,0.0,5,3,2,1,1,2,False,False
0,0.0,3,57.0,31,4547.166667,0.012903226,0.039247312,8.682741935,0.0,5,2,4,5,2,2,False,False
0,0.0,0,0.0,8,267.0,0.0,0.05,0.0,0.0,5,2,2,3,3,2,False,False
6,53.38095238,0,0.0,5,54.38095238,0.0,0.003571429,0.0,0.0,5,2,2,6,2,0,True,False
0,0.0,0,0.0,7,314.5,0.033333333,0.066666667,0.0,0.0,5,2,2,3,1,2,False,False
6,573.5,1,0.0,33,1946.942857,0.005882353,0.020602653,0.0,0.0,5,3,2,3,2,2,False,False
0,0.0,0,0.0,17,927.1666667,0.0,0.014705882,0.0,0.0,5,1,1,2,3,2,False,False
1,3.0,0,0.0,40,624.75,0.0,0.014634146,0.0,0.0,5,3,7,3,3,2,False,False
0,0.0,0,0.0,8,144.0,0.025,0.045833333,0.0,0.0,5,3,2,7,3,2,True,False
0,0.0,0,0.0,30,484.672619,0.0,0.018965517,0.0,0.0,5,2,6,7,1,2,False,False
0,0.0,0,0.0,19,439.8333333,0.005555556,0.003703704,0.0,0.0,5,1,1,7,2,0,False,False
2,38.0,0,0.0,21,733.7,0.0,0.014035088,0.0,0.0,5,2,7,1,3,2,True,False
2,58.5,2,125.0,16,485.8333333,0.0,0.002222222,0.0,0.0,5,2,2,7,2,0,True,False
6,99.33333333,1,28.5,5,345.5,0.0,0.011111111,0.0,0.0,5,2,2,3,8,0,False,False
3,15.0,0,0.0,11,246.0,0.018181818,0.054545455,0.0,0.0,5,2,2,1,8,2,False,False
1,19.0,0,0.0,40,1361.166667,0.005,0.0225,0.0,0.0,5,4,1,2,3,2,True,False
0,0.0,0,0.0,5,53.0,0.04,0.08,0.0,0.0,5,2,5,2,2,2,True,False
0,0.0,0,0.0,3,27.0,0.066666667,0.133333333,0.0,0.0,5,2,2,1,13,2,False,False
0,0.0,0,0.0,12,323.0,0.033333333,0.066666667,0.0,0.0,5,2,2,1,3,2,True,False
6,145.0,0,0.0,13,644.0,0.0,0.013333333,0.0,0.0,5,2,2,1,2,0,False,False
0,0.0,0,0.0,5,488.5,0.032727273,0.033846154,0.0,0.0,5,2,7,7,6,2,False,False
0,0.0,0,0.0,7,495.0,0.0,0.00952381,0.0,0.0,5,4,1,3,2,2,False,False
0,0.0,0,0.0,11,253.0,0.0,0.027272727,0.0,0.0,5,2,2,2,1,2,False,False
6,99.60588235,0,0.0,83,2585.61835,0.0,0.00761877,6.871308983,0.0,5,2,2,2,2,2,False,True
4,56.0,0,0.0,31,270.4916667,0.0,0.00234375,0.0,0.0,5,2,2,1,3,2,False,False
0,0.0,0,0.0,6,13.0,0.133333333,0.166666667,0.0,0.0,5,2,2,1,3,2,False,False
0,0.0,0,0.0,4,34.0,0.1,0.125,0.0,0.0,5,3,2,3,3,2,False,False
17,754.1095238,2,77.0,31,1021.619336,0.004545455,0.026479076,2.08053355,0.0,5,1,1,3,2,2,False,True
2,34.0,0,0.0,81,2241.002381,0.002439024,0.007012195,0.0,0.0,5,2,2,1,1,2,False,False
2,47.0,0,0.0,21,825.0833333,0.0,0.009090909,10.7929507,0.0,5,2,2,2,2,0,False,True
0,0.0,0,0.0,12,689.2857143,0.0,0.058333333,0.0,0.0,5,3,2,3,1,2,True,False
2,20.5,0,0.0,21,719.7380952,0.004347826,0.010434783,0.0,0.0,5,2,2,1,3,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,4,6,2,2,False,False
1,13.0,0,0.0,15,317.0,0.0,0.006666667,0.0,0.0,5,2,2,1,2,0,True,False
0,0.0,0,0.0,5,371.0,0.0,0.02,0.0,0.0,5,2,2,4,10,2,False,False
7,60.0,3,23.0,111,2524.501905,0.001694915,0.018834175,6.445051499,0.0,5,3,2,1,2,2,True,False
0,0.0,0,0.0,8,332.0,0.0,0.028571429,0.0,0.0,5,3,2,1,8,0,True,False
7,156.5,1,122.0,26,694.7121212,0.0,0.00297619,0.0,0.0,5,2,4,1,2,2,False,False
0,0.0,0,0.0,6,319.0,0.0,0.05,0.0,0.0,5,1,1,6,1,2,True,False
3,42.0,0,0.0,31,3121.369048,0.002857143,0.009285714,0.0,0.0,5,1,1,3,1,2,True,False
2,48.66666667,0,0.0,48,3726.333333,0.0,0.004166667,0.0,0.0,5,3,2,1,9,2,True,False
0,0.0,0,0.0,9,211.0,0.0,0.044444444,0.0,0.0,5,2,2,3,2,2,False,False
0,0.0,0,0.0,7,258.5,0.028571429,0.071428571,0.0,0.0,5,3,2,6,1,2,False,False
6,262.25,3,298.0,49,2302.021242,0.000308642,0.026591844,43.3616369,0.0,5,1,1,1,2,2,False,True
0,0.0,0,0.0,4,173.5,0.0,0.05,0.0,0.0,5,3,3,4,3,2,True,False
4,15.0,1,17.0,17,490.0,0.0,0.027272727,15.66445171,0.0,5,2,2,4,10,2,False,True
0,0.0,1,0.0,12,645.9166667,0.0,0.05,0.0,0.0,5,1,1,1,2,2,False,False
9,140.5,0,0.0,35,1090.490476,0.013675214,0.016892552,0.0,0.0,5,1,1,3,2,2,True,False
4,56.0,1,88.0,22,1734.780952,0.0,0.010142857,0.0,0.0,5,3,2,3,9,2,True,False
9,110.4090909,1,51.0,62,3120.211102,0.00056338,0.017396907,7.891171006,0.0,5,2,2,1,10,2,False,False
0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,5,3,2,6,3,2,False,False
7,301.7,6,336.5,42,1981.016667,0.005660377,0.021383648,13.00183962,0.0,5,1,1,2,2,2,True,True
0,0.0,0,0.0,7,141.8333333,0.064285714,0.15,0.0,0.0,5,2,2,1,1,2,False,False
1,3.0,0,0.0,11,271.7166667,0.0,0.016666667,0.0,0.0,5,4,1,3,2,2,True,False
0,0.0,0,0.0,4,70.5,0.05,0.1,0.0,0.0,5,3,2,4,3,2,False,False
2,83.0,0,0.0,15,605.8857143,0.0,0.005882353,0.0,0.0,5,1,1,3,2,2,True,False
0,0.0,0,0.0,3,58.0,0.0,0.066666667,0.0,0.0,5,1,1,1,10,2,False,False
0,0.0,0,0.0,7,182.0,0.028571429,0.071428571,0.0,0.0,5,3,2,1,13,2,True,False
0,0.0,0,0.0,2,13.0,0.1,0.1,0.0,0.0,5,1,1,2,1,2,True,False
7,146.25,0,0.0,42,1030.266667,0.0,0.008695652,0.0,0.0,5,2,2,1,2,0,False,False
0,0.0,0,0.0,13,305.0,0.0,0.016666667,0.0,0.0,5,1,1,1,2,0,False,False
1,12.0,0,0.0,6,74.0,0.0,0.028571429,0.0,0.0,5,1,1,1,10,2,False,False
5,179.5,0,0.0,36,1792.8,0.0,0.004390244,0.0,0.0,5,2,2,3,10,2,False,False
1,4.0,2,102.0,31,624.5833333,0.016216216,0.031531532,8.708324324,0.0,5,2,2,3,13,2,True,False
0,0.0,0,0.0,7,97.0,0.057142857,0.1,0.0,0.0,5,2,2,4,1,2,False,False
2,27.0,0,0.0,18,915.1666667,0.021052632,0.036842105,0.0,0.0,5,2,2,4,1,2,False,False
0,0.0,0,0.0,11,194.0,0.0,0.018181818,0.0,0.0,5,2,2,6,1,2,False,False
0,0.0,0,0.0,15,751.8,0.026666667,0.04,0.0,0.0,5,1,2,2,1,2,False,False
3,33.0,2,84.5,4,46.5,0.0,0.010666667,0.0,0.0,5,2,2,5,8,0,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,7,10,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,1,10,2,False,False
0,0.0,0,0.0,6,97.33333333,0.0,0.041666667,0.0,0.0,5,1,2,1,2,2,True,False
4,167.5,0,0.0,22,869.9,0.0,0.026388889,33.53327578,0.0,5,2,6,4,10,2,False,True
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,1,1,7,2,2,True,False
0,0.0,0,0.0,4,148.5,0.05,0.083333333,0.0,0.0,5,1,1,1,1,2,True,False
0,0.0,0,0.0,2,11.0,0.0,0.1,0.0,0.0,5,4,2,2,10,2,False,False
0,0.0,0,0.0,6,53.0,0.0,0.06,0.0,0.0,5,2,2,7,3,2,True,False
2,47.0,0,0.0,17,411.625,0.0,0.023529412,0.0,0.0,5,2,2,4,3,2,False,False
0,0.0,0,0.0,16,392.1428571,0.00625,0.027205882,0.0,0.0,5,3,2,1,2,2,False,False
0,0.0,0,0.0,14,927.2777778,0.0,0.014285714,0.0,0.0,5,2,2,1,2,2,False,False
11,247.3333333,2,369.0,90,7221.0,0.001030928,0.003917526,13.46406308,0.0,5,2,2,3,8,2,False,True
1,8.0,0,0.0,5,143.5,0.0,0.011111111,0.0,0.0,5,3,2,2,3,0,True,False
0,0.0,0,0.0,6,104.0,0.0,0.033333333,0.0,0.0,5,3,2,7,6,2,False,False
10,164.5,1,3.0,61,2292.679762,0.0,0.009552239,0.0,0.0,5,2,2,1,1,2,False,False
0,0.0,0,0.0,9,329.0,0.022222222,0.044444444,0.0,0.0,5,2,2,3,1,2,False,False
0,0.0,0,0.0,32,1080.047619,0.0,0.01015625,0.0,0.0,5,2,2,7,2,2,False,False
4,272.5,0,0.0,14,279.9,0.0,0.028571429,0.0,0.0,5,1,1,3,10,0,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,7,11,2,False,False
0,0.0,0,0.0,4,35.0,0.0,0.05,0.0,0.0,5,2,2,9,3,2,False,False
0,0.0,0,0.0,10,189.5,0.0,0.036666667,0.0,0.0,5,3,2,3,3,2,False,False
0,0.0,0,0.0,3,79.0,0.066666667,0.166666667,0.0,0.0,5,1,1,3,3,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,3,2,5,1,2,False,False
1,21.0,1,61.0,49,1647.152381,0.0,0.0008,144.3934888,0.0,5,2,2,7,2,2,True,True
0,0.0,0,0.0,1,36.0,0.0,0.066666667,0.0,0.0,5,3,2,6,2,2,True,False
0,0.0,0,0.0,9,210.0,0.044444444,0.055555556,0.0,0.0,5,1,1,3,3,2,False,False
0,0.0,0,0.0,21,1003.0,0.0,0.008333333,0.0,0.0,5,2,4,1,1,2,False,False
0,0.0,0,0.0,34,1524.058333,0.019393939,0.025282904,11.77367361,0.0,5,3,2,3,1,2,False,False
0,0.0,0,0.0,20,504.2333333,0.01,0.021666667,0.0,0.0,5,3,2,1,1,2,False,False
7,196.0,3,138.5,11,227.5,0.0,0.006666667,0.0,0.0,5,3,2,5,8,0,True,False
0,0.0,0,0.0,6,308.1666667,0.083333333,0.095,0.0,0.0,5,1,1,6,1,2,False,False
2,21.0,1,26.0,22,326.5833333,0.018181818,0.066666667,0.0,0.0,5,3,2,4,3,2,False,False
0,0.0,0,0.0,24,917.0833333,0.008333333,0.031944444,0.0,0.0,5,3,2,1,1,2,True,False
3,61.0,0,0.0,19,573.6571429,0.036842105,0.04,0.0,0.0,5,1,1,2,1,2,False,False
3,227.0,0,0.0,3,164.0,0.0,0.013333333,0.0,0.0,5,1,1,3,2,0,False,False
0,0.0,3,300.0,13,509.1214286,0.006666667,0.002222222,40.7932,0.0,5,3,2,7,2,2,True,True
0,0.0,0,0.0,13,449.3333333,0.006153846,0.044615385,0.0,0.0,5,2,5,1,3,2,False,False
0,0.0,0,0.0,12,200.0,0.0,0.047222222,0.0,0.0,5,2,2,1,2,2,True,False
0,0.0,0,0.0,5,381.6666667,0.0,0.02,0.0,0.0,5,1,1,3,2,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,1,1,3,1,2,False,False
4,73.5,0,0.0,24,663.4666667,0.002564103,0.004395604,0.0,0.0,5,3,2,1,1,2,False,False
5,75.16666667,0,0.0,12,115.1666667,0.028571429,0.042857143,0.0,0.0,5,2,2,8,1,2,False,False
0,0.0,1,41.0,13,698.0,0.0,0.032142857,0.0,0.0,5,2,5,2,1,2,False,False
0,0.0,1,42.0,20,408.3333333,0.0,0.003174603,33.47777322,0.0,5,2,4,7,2,2,False,True
0,0.0,0,0.0,12,207.0,0.0,0.036666667,0.0,0.0,5,2,2,3,2,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,1,2,2,False,False
2,151.0,0,0.0,19,716.3571429,0.004761905,0.015873016,10.8692605,0.0,5,1,1,7,1,2,True,True
6,52.0,1,24.0,56,3763.166667,0.003389831,0.01480226,10.37042373,0.0,5,2,2,1,1,2,False,True
0,0.0,0,0.0,3,81.0,0.0,0.066666667,0.0,0.0,5,1,1,1,1,2,False,False
0,0.0,0,0.0,6,59.0,0.0,0.033333333,0.0,0.0,5,2,2,1,2,2,False,False
9,848.1428571,4,388.6666667,33,595.0095238,0.0,0.004651163,0.0,0.0,5,2,2,1,10,0,False,False
0,0.0,0,0.0,6,495.0,0.0,0.02,77.96,0.0,5,1,2,9,2,2,True,True
11,281.6309524,0,0.0,54,923.6757353,0.0,0.012261867,5.150663602,0.0,5,1,1,7,2,2,False,False
9,160.0,0,0.0,48,3946.008333,0.007272727,0.011515152,20.32388105,0.0,5,2,6,1,8,2,True,True
0,0.0,0,0.0,3,67.5,0.0,0.066666667,0.0,0.0,5,1,1,3,3,2,True,False
3,91.0,2,338.0,11,451.0,0.0,0.006666667,45.7504,0.0,5,2,2,1,10,0,False,True
0,0.0,0,0.0,17,557.1666667,0.023529412,0.049509804,0.0,0.0,5,3,2,1,1,2,False,False
0,0.0,0,0.0,18,1473.333333,0.011111111,0.044444444,0.0,0.0,5,1,1,1,2,2,False,False
4,155.5,0,0.0,13,474.8333333,0.0,0.00625,0.0,0.0,5,3,2,1,1,2,False,False
0,0.0,0,0.0,6,212.0,0.026666667,0.03968254,0.0,0.0,5,3,2,3,1,2,False,False
0,0.0,0,0.0,5,136.6666667,0.02,0.12,0.0,0.0,5,3,2,1,10,2,True,False
0,0.0,0,0.0,10,243.2,0.02,0.04,0.0,0.0,5,2,2,4,1,2,False,False
0,0.0,0,0.0,12,459.0,0.0,0.02,0.0,0.0,5,2,4,3,1,2,False,False
4,985.5,4,308.0,6,328.0,0.0,0.015384615,0.0,0.0,5,2,2,3,2,0,False,False
11,228.0277778,1,32.0,17,457.7957265,0.007258065,0.044351348,0.0,0.0,5,1,2,9,8,2,False,False
0,0.0,0,0.0,8,228.0,0.0,0.028571429,0.0,0.0,5,4,1,3,2,2,False,False
0,0.0,0,0.0,4,9.0,0.1,0.15,0.0,0.0,5,3,2,3,1,2,False,False
0,0.0,0,0.0,2,31.0,0.0,0.025,0.0,0.0,5,3,2,3,3,2,False,False
0,0.0,0,0.0,4,388.0,0.05,0.075,0.0,0.0,5,2,2,6,1,2,False,False
0,0.0,0,0.0,3,96.5,0.0,0.022222222,0.0,0.0,5,1,1,1,3,2,True,False
0,0.0,0,0.0,11,337.0,0.045454545,0.061818182,0.0,0.0,5,1,1,9,3,2,False,False
0,0.0,0,0.0,8,158.5,0.0,0.05,0.0,0.0,5,1,1,1,3,2,True,False
1,7.0,0,0.0,11,298.0,0.0,0.006666667,0.0,0.0,5,3,2,3,3,2,True,False
2,1223.0,4,416.0,21,2755.67094,0.004545455,0.027575758,0.0,0.0,5,3,2,1,2,2,True,False
3,67.0,0,0.0,12,353.0,0.0,0.015384615,0.0,0.0,5,2,2,3,2,0,False,False
3,242.0,0,0.0,12,286.0,0.0,0.014285714,0.0,0.0,5,1,1,1,2,0,True,False
0,0.0,0,0.0,2,22.0,0.0,0.1,0.0,0.0,5,2,2,1,1,2,False,False
5,91.83333333,0,0.0,32,1480.666667,0.0,0.006857143,0.0,0.0,5,1,1,1,3,2,True,False
2,58.0,0,0.0,50,952.4345238,0.0,0.011538462,2.179730769,0.0,5,4,2,2,11,2,True,True
1,9.5,0,0.0,25,674.25,0.0,0.017307692,0.0,0.0,5,2,2,7,2,2,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,2,9,2,0,True,False
2,148.0,0,0.0,9,416.6666667,0.0,0.004545455,0.0,0.0,5,3,2,6,2,0,True,False
0,0.0,0,0.0,10,130.1666667,0.055555556,0.083333333,26.66133333,0.0,5,3,2,1,8,2,False,False
4,118.0,3,67.0,44,1489.144444,0.004081633,0.014693878,0.0,0.0,5,3,2,6,1,2,True,False
0,0.0,0,0.0,7,88.33333333,0.0,0.042857143,0.0,0.0,5,2,2,1,1,2,False,False
0,0.0,0,0.0,28,1028.116667,0.0,0.008928571,0.0,0.0,5,2,4,1,2,2,False,False
0,0.0,0,0.0,10,250.8,0.0,0.01,0.0,0.0,5,2,2,4,3,2,False,False
2,37.0,0,0.0,3,17.0,0.0,0.05,0.0,0.0,5,3,2,1,2,0,True,False
0,0.0,0,0.0,12,249.5,0.005555556,0.025,0.0,0.0,5,2,7,7,1,2,False,False
0,0.0,2,31.0,3,47.0,0.04,0.08,0.0,0.0,5,1,1,6,1,2,True,False
0,0.0,0,0.0,7,451.8333333,0.028571429,0.076190476,0.0,0.0,5,3,2,1,3,2,True,False
1,85.0,0,0.0,14,306.5,0.0,0.004444444,0.0,0.0,5,2,2,3,2,2,False,False
0,0.0,0,0.0,5,62.0,0.12,0.14,0.0,0.0,5,3,2,3,1,2,False,False
1,63.0,1,0.0,22,2815.416667,0.0,0.0125,0.0,0.0,5,2,2,3,2,2,False,False
0,0.0,0,0.0,2,5.0,0.0,0.1,0.0,0.0,5,2,2,1,2,2,False,False
11,377.8333333,0,0.0,40,1337.842794,0.008695652,0.022304507,0.0,0.0,5,3,2,3,3,2,True,False
6,129.75,0,0.0,42,1173.07,0.0,0.005319149,18.95323404,0.0,5,2,2,3,8,0,True,True
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,3,2,1,3,2,False,False
0,0.0,1,65.0,15,1728.321429,0.014285714,0.016428571,0.0,0.0,5,1,1,6,1,2,False,False
1,47.5,0,0.0,15,1330.3,0.0,0.005128205,0.0,0.0,5,2,4,2,10,2,False,False
2,16.0,0,0.0,33,1123.242857,0.006060606,0.021969697,11.12342124,0.0,5,2,2,3,13,2,False,False
2,77.0,0,0.0,43,1607.297619,0.002272727,0.015909091,0.0,0.0,5,2,2,1,2,2,False,False
2,12.0,0,0.0,8,60.0,0.0,0.02,0.0,0.0,5,2,2,3,2,0,True,False
0,0.0,0,0.0,22,850.2083333,0.0,0.016666667,0.0,0.0,5,1,1,1,2,2,False,False
2,15.0,0,0.0,13,77.0,0.014285714,0.028571429,0.0,0.0,5,2,2,9,1,2,False,False
3,32.0,0,0.0,20,453.625,0.0,0.001058201,0.0,0.0,5,2,2,1,2,0,True,False
0,0.0,0,0.0,5,218.0,0.0,0.04,0.0,0.0,5,2,2,1,2,2,False,False
2,14.0,0,0.0,49,789.9583333,0.004166667,0.015097222,0.0,0.0,5,3,2,7,1,2,False,False
0,0.0,0,0.0,3,161.0,0.0,0.066666667,0.0,0.0,5,2,2,1,1,2,False,False
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,5,2,2,6,1,2,False,False
0,0.0,0,0.0,7,165.0,0.042857143,0.1,0.0,0.0,5,2,2,2,3,2,False,False
0,0.0,0,0.0,5,1306.0,0.06,0.12,0.0,0.0,5,2,2,5,13,2,False,False
7,170.0,0,0.0,27,1342.666667,0.003333333,0.023333333,29.35629782,0.0,5,2,2,1,3,2,False,True
2,9.0,1,201.0,33,1593.388889,0.011428571,0.031515152,0.0,0.0,5,2,2,1,1,2,True,False
0,0.0,0,0.0,9,639.0,0.0,0.025,81.2475,0.0,5,1,1,2,9,2,True,True
1,14.0,0,0.0,21,334.7857143,0.0,0.023333333,0.0,0.0,5,2,2,1,1,2,False,False
5,248.5,0,0.0,11,456.6666667,0.0,0.003571429,0.0,0.0,5,3,2,4,2,0,False,False
1,25.0,0,0.0,28,2258.833333,0.007142857,0.046428571,0.0,0.0,5,2,2,3,3,2,True,False
1,146.0,0,0.0,11,267.8333333,0.018181818,0.036363636,0.0,0.0,5,1,1,4,2,2,True,False
0,0.0,0,0.0,5,59.0,0.08,0.12,0.0,0.0,5,2,2,7,1,2,False,False
0,0.0,6,270.3333333,11,160.5,0.0,0.004761905,0.0,0.0,5,2,4,1,8,0,False,False
0,0.0,1,0.0,1,44.0,0.0,0.1,0.0,0.0,5,2,2,6,2,2,True,False
