age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,target
44,1,1,1,0,0,0,0,1,4,195,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
46,0,0,3,0,0,0,0,3,3,282,1,999,0,1,-2.9,92.469,-33.6,1.044,5076.2,0
42,0,1,3,0,2,0,0,0,0,88,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
35,7,0,5,1,0,0,1,6,3,806,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
32,0,2,6,0,2,0,1,8,3,376,1,999,2,0,-3.4,92.431,-26.9,0.728,5017.5,0
37,9,0,5,0,0,0,0,1,0,780,2,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
53,7,3,7,0,2,0,1,4,3,382,5,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
53,4,0,6,0,1,1,1,4,4,636,12,999,0,1,1.4,94.465,-41.8,4.962,5228.1,0
40,0,1,3,0,2,0,0,0,2,401,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,0
33,9,2,6,0,0,0,0,7,1,98,2,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
26,0,2,6,0,2,2,0,3,1,118,4,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
22,9,2,5,0,0,0,1,4,0,184,4,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
52,2,1,1,0,2,0,0,6,1,69,1,999,0,1,-1.8,92.893,-46.2,1.264,5099.1,0
35,9,1,3,1,2,0,0,3,3,740,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
41,1,1,2,1,0,0,1,4,3,13,13,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
55,1,1,2,1,0,0,0,3,1,40,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
49,4,2,0,1,2,0,0,3,4,592,1,999,0,1,1.4,93.918,-42.7,4.957,5228.1,0
42,0,1,5,1,2,0,0,1,2,133,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
30,1,2,6,0,0,0,0,5,0,166,1,999,0,1,-1.8,92.843,-50.0,1.531,5099.1,0
56,1,1,0,1,0,0,0,3,1,241,6,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
35,7,1,3,1,0,0,0,6,4,257,1,999,1,0,-1.8,92.893,-46.2,1.334,5099.1,0
35,7,0,6,0,2,0,1,3,3,119,2,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
37,9,1,5,0,0,0,0,3,0,127,3,999,0,1,1.4,93.918,-42.7,4.957,5228.1,0
41,10,1,5,0,2,0,1,6,1,33,5,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,0
33,7,1,3,0,2,0,0,3,0,396,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
52,7,1,3,0,2,0,0,1,3,607,5,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
37,1,1,0,0,0,2,0,6,4,199,1,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0
49,1,1,0,1,0,0,1,4,1,174,2,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
43,4,1,0,0,2,0,1,6,3,224,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,4,1,6,0,0,0,1,6,2,319,5,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
45,0,2,6,0,1,1,0,7,3,133,3,999,1,0,-3.4,92.649,-30.1,0.715,5017.5,0
36,0,2,3,0,2,0,0,1,0,159,1,3,2,2,-2.9,92.201,-31.4,0.849,5076.2,1
30,0,1,6,0,2,0,0,1,1,286,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
31,9,1,6,0,2,0,0,4,0,276,2,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
26,6,1,3,0,2,2,0,6,2,181,5,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
38,9,1,2,0,0,0,1,4,2,129,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
32,9,2,3,0,2,0,1,6,4,238,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
45,0,1,6,0,0,0,1,6,1,351,1,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
50,1,1,5,1,0,0,0,7,2,283,1,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,1
29,1,1,1,0,0,2,1,6,4,168,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
47,4,2,6,1,2,0,0,3,1,106,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
36,4,1,6,0,1,1,0,9,4,331,1,6,4,0,-1.1,94.199,-37.5,0.876,4963.6,1
33,0,2,6,0,2,2,0,1,2,44,1,999,0,1,1.4,93.444,-36.1,4.962,5228.1,0
53,6,1,6,0,0,0,1,6,0,371,2,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
48,1,1,7,0,0,0,0,1,1,528,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,1
27,7,1,3,1,0,0,1,6,0,136,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
44,4,2,3,0,0,0,0,3,1,312,1,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
41,0,1,6,0,2,0,0,0,3,183,1,999,1,0,-1.8,93.075,-47.1,1.453,5099.1,0
40,1,0,2,0,0,0,0,3,2,50,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
35,0,2,6,0,0,2,0,1,4,448,2,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
34,2,1,5,0,2,0,1,6,0,292,4,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
53,7,1,3,1,2,0,1,4,2,75,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
31,1,1,2,0,2,0,0,3,2,192,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
47,11,1,7,1,0,0,1,6,0,147,1,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
30,9,2,6,0,0,0,0,1,1,62,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
31,7,2,3,0,2,0,1,4,1,204,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
53,2,0,6,0,2,0,0,3,4,97,5,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
36,2,1,6,0,2,0,0,6,4,239,2,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,0
50,5,1,0,0,2,0,1,4,1,35,6,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
42,1,1,2,0,0,0,1,6,4,92,5,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
59,10,1,0,1,2,0,0,3,2,458,9,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
40,9,2,6,0,0,0,1,6,2,430,2,999,1,0,-1.8,92.893,-46.2,1.327,5099.1,0
46,1,1,0,0,2,0,1,6,0,218,2,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
27,0,2,5,0,2,2,1,0,2,117,3,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,0
43,4,0,6,0,2,0,0,3,3,76,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
42,7,0,1,0,2,0,1,6,2,1074,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
55,11,3,7,1,2,0,0,3,1,230,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
51,1,1,1,0,2,0,1,6,0,91,9,999,0,1,1.1,93.994,-36.4,4.864,5191.0,0
39,0,1,3,1,0,0,1,6,1,357,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
25,0,2,3,0,2,0,0,6,0,238,6,999,2,0,-1.8,92.893,-46.2,1.313,5099.1,0
54,1,2,0,1,2,0,1,6,0,1171,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
27,9,2,6,0,2,0,0,6,2,43,8,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
43,0,1,3,0,0,0,0,6,4,140,3,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,0
44,7,0,3,0,2,2,0,3,1,1169,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
40,9,1,2,0,2,0,1,4,0,235,1,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
50,1,1,0,0,2,0,0,3,1,611,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
30,7,2,3,1,2,0,1,0,0,40,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
39,0,2,6,0,2,2,0,3,4,59,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
28,4,1,6,0,2,0,1,4,4,695,1,999,0,1,1.4,94.465,-41.8,4.962,5228.1,1
26,8,2,7,1,0,0,1,6,0,277,5,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
38,9,2,3,1,0,0,0,1,1,95,3,999,0,1,1.4,93.444,-36.1,4.965,5228.1,0
25,7,2,7,0,2,0,0,4,3,516,1,13,2,0,-1.7,94.055,-39.8,0.702,4991.6,1
43,0,1,6,0,0,0,0,7,1,222,2,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,0
24,7,2,3,0,2,0,1,6,4,977,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
46,6,0,2,0,2,0,0,0,2,453,2,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,0
45,4,1,6,0,0,2,0,7,4,391,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
26,7,2,3,0,0,0,0,3,3,180,2,999,0,1,-2.9,92.469,-33.6,1.044,5076.2,1
37,9,1,5,0,0,0,1,6,3,34,4,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
30,9,1,6,0,2,0,1,6,3,683,2,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
42,1,1,1,0,2,0,0,3,4,72,1,999,0,1,-2.9,92.469,-33.6,1.029,5076.2,0
34,9,2,5,0,2,0,0,6,2,277,2,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,0
32,1,2,3,0,0,0,0,4,1,247,1,2,2,2,-1.7,94.055,-39.8,0.754,4991.6,1
43,1,1,7,1,0,2,1,6,4,73,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
34,1,2,2,1,0,0,1,6,4,576,3,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
45,1,0,0,1,2,0,0,3,0,120,1,999,0,1,1.4,93.918,-42.7,4.957,5228.1,0
41,9,1,5,0,0,0,0,8,4,391,2,27,1,2,-1.1,94.601,-49.5,0.959,4963.6,1
28,0,2,6,0,0,0,0,3,2,395,2,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
40,3,2,6,0,2,0,1,4,0,253,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
32,2,2,6,0,0,2,0,7,2,67,1,999,1,0,-0.1,93.2,-42.0,4.076,5195.8,0
30,1,2,7,0,2,0,1,4,2,400,1,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
30,0,1,5,0,2,0,0,4,2,80,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,0
72,5,0,6,0,0,0,0,1,3,370,1,999,0,1,-2.9,92.201,-31.4,0.884,5076.2,0
55,10,1,0,1,2,0,1,6,4,140,2,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,0,1,3,0,2,0,1,6,2,471,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
45,7,1,2,0,2,2,1,6,2,60,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
28,1,2,1,0,0,0,0,6,4,863,3,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
46,4,0,5,0,0,0,0,6,3,159,2,999,1,0,-1.8,92.893,-46.2,1.344,5099.1,0
39,4,1,6,0,0,0,0,1,0,155,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
48,4,1,6,0,2,0,0,1,3,127,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
33,9,2,6,0,2,0,1,4,1,42,1,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
53,1,1,7,1,2,0,0,3,0,386,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
30,9,0,2,0,2,2,0,7,4,177,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
32,0,2,6,0,1,1,0,1,3,40,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
38,9,1,3,0,2,0,0,1,3,237,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
40,1,1,0,1,2,0,0,3,4,131,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
70,5,1,3,0,2,0,0,1,3,162,1,999,0,1,-2.9,92.201,-31.4,0.883,5076.2,0
40,9,2,6,0,2,2,0,7,0,44,1,999,0,1,-0.1,93.2,-42.0,4.021,5195.8,0
49,7,2,5,0,2,0,0,1,3,73,3,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
39,9,2,5,0,2,0,0,7,4,180,1,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,0
35,1,1,0,0,2,0,1,6,3,125,4,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
28,9,2,6,0,0,0,0,3,3,146,3,6,2,2,-1.7,94.215,-40.3,0.876,4991.6,0
31,8,2,6,0,2,2,0,3,0,350,2,999,0,1,-1.7,94.215,-40.3,0.885,4991.6,1
47,9,1,3,0,2,0,0,3,2,388,3,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
38,0,2,3,0,2,0,0,6,3,100,4,999,0,1,-1.8,92.893,-46.2,1.291,5099.1,0
58,0,1,3,0,2,0,0,7,3,173,1,999,2,0,-1.1,94.767,-50.8,1.046,4963.6,0
38,1,1,5,0,2,0,1,6,3,321,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
29,0,1,3,0,0,2,1,3,3,65,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
35,7,2,3,0,0,0,0,6,2,146,1,999,1,0,-1.8,92.893,-46.2,1.327,5099.1,0
43,3,1,0,0,0,2,0,3,4,697,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
39,1,1,0,1,2,0,1,6,4,96,4,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
32,7,0,3,0,2,0,0,3,2,207,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
52,6,0,2,0,2,0,0,7,2,26,5,999,1,0,-0.1,93.2,-42.0,4.076,5195.8,0
32,1,1,2,0,2,2,0,6,4,230,1,999,0,1,-1.8,92.893,-46.2,1.334,5099.1,0
38,0,0,6,0,0,0,0,0,1,62,1,999,0,1,-1.8,93.075,-47.1,1.392,5099.1,0
33,0,1,6,1,0,0,0,1,3,130,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
38,1,1,2,1,2,0,1,6,4,88,2,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
31,0,1,2,0,0,0,1,4,2,145,1,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
35,7,1,1,0,2,0,1,6,2,473,1,999,0,1,1.1,93.994,-36.4,4.86,5191.0,0
33,1,1,2,0,0,0,0,3,0,439,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
40,0,2,3,0,2,2,1,4,0,10,13,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
36,9,1,3,0,0,0,1,4,0,52,4,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
30,8,2,6,0,0,0,0,7,0,585,4,999,1,0,-0.1,93.2,-42.0,4.021,5195.8,0
31,1,1,2,0,0,0,0,0,2,104,1,999,1,0,-1.8,93.075,-47.1,1.41,5099.1,0
46,7,1,3,1,2,0,0,1,2,65,2,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
40,3,2,6,0,0,2,1,6,1,539,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,4,1,6,0,0,2,1,6,4,171,1,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
40,7,0,3,0,2,0,0,3,3,256,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
31,4,2,6,1,0,0,1,4,0,100,3,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
40,1,1,3,0,2,0,1,6,2,183,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
38,4,1,3,0,0,0,1,6,3,776,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
52,11,1,7,1,0,0,0,1,4,52,11,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
29,0,0,6,0,0,0,1,4,1,187,3,999,0,1,1.4,94.465,-41.8,4.96,5228.1,0
23,8,2,3,0,2,0,0,1,0,136,1,999,3,0,-2.9,92.201,-31.4,0.881,5076.2,0
32,0,1,6,0,0,2,0,3,4,112,8,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
45,1,0,2,0,2,0,0,3,1,146,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
28,0,2,6,0,2,2,0,1,3,187,2,6,2,2,-1.7,94.027,-38.3,0.899,4991.6,1
46,2,0,2,0,2,0,0,7,2,201,4,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
57,7,0,7,0,0,0,0,6,0,144,4,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,0
38,1,1,2,0,0,0,0,3,0,610,1,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
39,0,1,6,0,0,0,1,3,1,733,3,999,0,1,1.4,93.918,-42.7,4.96,5228.1,1
48,0,1,5,0,0,0,1,4,4,105,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,0
54,1,1,0,1,0,0,0,6,1,108,1,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,0
46,0,1,3,0,2,2,1,8,4,149,1,999,0,1,-3.4,92.431,-26.9,0.724,5017.5,0
48,1,1,7,0,2,0,0,1,1,16,10,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
24,0,2,3,0,2,0,0,8,0,133,2,999,1,0,-1.1,94.601,-49.5,0.972,4963.6,0
45,0,1,6,0,0,0,1,6,2,319,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
29,9,2,2,0,2,0,0,7,4,648,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
34,1,1,2,0,2,0,0,3,4,173,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
45,1,2,3,1,0,0,1,4,1,68,1,999,0,1,1.4,94.465,-41.8,4.865,5228.1,0
44,1,2,7,1,2,0,1,4,3,828,1,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
36,0,1,3,0,2,0,0,5,2,220,3,999,0,1,-1.8,92.843,-50.0,1.584,5099.1,1
54,0,1,6,0,0,0,0,5,1,47,2,999,0,1,-1.8,92.843,-50.0,1.56,5099.1,0
54,3,1,0,1,0,0,1,1,4,23,6,999,0,1,1.4,93.444,-36.1,4.964,5228.1,0
37,9,1,5,0,0,0,0,0,0,181,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
35,4,1,6,0,2,0,0,1,3,284,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,0
45,6,1,2,0,0,0,0,1,4,80,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,0
37,0,0,6,1,2,0,0,6,4,31,7,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0
29,1,1,2,0,2,0,1,6,4,492,1,999,0,1,1.1,93.994,-36.4,4.858,5191.0,0
38,1,1,1,0,0,0,0,3,4,328,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,0
59,1,1,1,0,2,0,1,6,2,166,1,999,0,1,1.1,93.994,-36.4,4.855,5191.0,0
32,0,0,6,0,0,0,0,1,0,63,1,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
82,5,1,6,1,0,0,0,9,1,81,3,3,4,2,-1.1,94.199,-37.5,0.879,4963.6,0
33,0,2,6,0,0,0,0,0,0,326,3,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,0
84,5,0,7,1,0,0,0,9,3,333,1,3,2,2,-1.1,94.199,-37.5,0.877,4963.6,1
47,4,1,3,0,0,0,0,6,1,245,1,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,0
34,1,1,2,0,2,2,0,6,0,328,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,0
36,6,1,6,0,0,0,0,6,1,128,1,999,0,1,-1.8,92.893,-46.2,1.264,5099.1,0
31,9,2,6,0,2,0,1,6,0,7,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,0,1,6,0,0,0,0,3,1,1156,1,999,0,1,1.4,93.918,-42.7,4.96,5228.1,0
35,1,1,2,0,0,2,1,4,1,782,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
25,4,2,6,0,2,0,0,6,1,362,5,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,0
47,7,1,1,0,0,0,0,3,3,100,2,999,0,1,1.4,93.918,-42.7,4.961,5228.1,0
35,1,1,2,1,0,0,1,4,3,94,18,999,0,1,1.4,94.465,-41.8,4.864,5228.1,0
47,10,1,3,0,2,0,0,7,3,65,1,999,1,0,-0.1,93.2,-42.0,4.153,5195.8,0
47,2,1,7,1,0,0,1,6,3,434,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
43,0,1,2,0,0,0,0,3,0,72,3,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
54,5,0,6,0,2,0,0,6,0,133,1,999,0,1,-1.8,92.893,-46.2,1.25,5099.1,0
38,9,1,5,0,2,0,0,5,0,363,2,10,1,2,-1.8,92.843,-50.0,1.726,5099.1,1
34,0,2,6,0,0,0,0,6,1,283,1,999,0,1,-1.8,92.893,-46.2,1.244,5099.1,0
46,2,1,5,1,0,0,1,4,0,243,7,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
31,1,2,3,0,2,0,0,7,4,154,2,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,0
37,0,1,3,0,2,0,1,3,2,29,14,999,0,1,1.4,93.918,-42.7,4.968,5228.1,0
33,6,1,6,0,2,0,0,3,4,99,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
49,1,1,1,0,0,0,0,1,2,139,2,999,0,1,1.4,93.444,-36.1,4.963,5228.1,0
28,0,2,3,0,2,0,0,5,0,102,1,999,0,1,-1.8,92.843,-50.0,1.531,5099.1,0
40,4,0,6,1,2,0,1,4,2,209,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
50,7,1,7,1,0,0,1,4,0,81,5,999,0,1,1.4,94.465,-41.8,4.967,5228.1,0
30,0,1,6,0,2,0,0,8,4,133,1,999,0,1,-3.4,92.431,-26.9,0.724,5017.5,0
30,11,1,6,0,2,0,0,1,1,190,1,999,0,1,1.4,93.444,-36.1,4.97,5228.1,0
34,4,0,6,0,2,0,1,6,3,208,1,999,0,1,1.1,93.994,-36.4,4.856,5191.0,0
32,2,1,6,0,0,2,0,7,4,49,2,999,1,0,-0.1,93.2,-42.0,4.12,5195.8,0
43,9,0,2,0,0,2,1,6,4,143,3,999,0,1,1.1,93.994,-36.4,4.859,5191.0,0
30,7,1,3,1,0,2,0,7,2,178,4,999,0,1,-0.1,93.2,-42.0,4.076,5195.8,0
39,3,1,2,0,2,0,0,7,1,130,1,999,1,0,-0.1,93.2,-42.0,4.191,5195.8,0
40,10,0,3,0,0,2,1,4,2,243,1,999,0,1,1.4,94.465,-41.8,4.866,5228.1,0
53,1,1,1,1,2,0,0,6,4,659,1,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
39,9,1,6,0,2,0,0,4,1,187,1,3,5,2,-1.7,94.055,-39.8,0.72,4991.6,1
30,9,2,5,0,0,0,1,4,3,19,4,999,0,1,1.4,94.465,-41.8,4.961,5228.1,0
25,7,1,3,0,0,0,0,3,3,259,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,0
