Gender,Age,Region_Code,Occupation,Channel_Code,Vintage,Credit_Product,Avg_Account_Balance,Is_Lead,target
0,29,4,2,0,33,0,1691169,0,0
0,42,4,1,2,19,0,2070344,0,1
1,32,33,3,0,32,0,2866209,0,0
1,27,31,1,0,14,1,1457188,1,0
1,30,28,3,0,25,0,1738143,0,0
0,31,1,2,0,31,1,614527,0,0
0,45,4,3,2,50,0,1168062,0,1
1,80,18,1,2,105,1,3627462,0,1
1,47,33,3,2,9,1,1876876,0,1
0,27,4,1,2,20,0,2089542,0,0
0,48,30,3,1,20,1,483154,0,0
0,47,27,3,1,43,0,638325,0,1
1,25,16,1,0,25,0,307966,0,0
1,55,1,1,1,20,1,335699,0,0
1,28,25,2,2,38,0,1211770,0,1
1,74,10,1,2,51,1,275010,0,0
0,30,30,1,0,19,0,528348,0,0
1,55,4,3,2,49,1,881233,0,1
0,31,18,3,0,20,0,1429010,0,0
1,30,8,3,1,21,0,593701,0,1
0,43,30,1,0,14,1,1207765,0,0
1,29,8,2,2,19,0,1013710,0,0
1,27,18,2,0,15,0,791147,0,0
0,72,18,1,2,26,1,3135256,0,1
1,45,4,3,1,81,0,554167,0,1
1,28,4,2,0,19,1,4410857,0,0
0,31,18,2,0,19,0,668060,0,1
1,30,0,2,0,19,0,870055,0,0
0,28,29,2,0,21,0,241323,0,1
1,30,4,2,0,13,0,823107,0,0
1,48,24,3,1,19,0,834116,0,1
0,28,12,2,0,20,0,635940,0,0
1,46,18,3,1,31,1,485228,1,0
1,55,1,3,2,21,1,689892,0,1
1,33,16,3,1,27,0,379398,0,1
1,25,31,2,0,19,1,596789,0,0
0,28,20,2,0,20,0,1465251,0,1
0,25,18,3,0,15,0,1631343,1,1
1,64,33,1,2,92,1,2707504,0,0
1,52,30,3,1,97,0,2904212,0,1
0,76,30,1,2,73,0,579007,1,0
0,25,18,2,0,13,0,614304,1,1
0,31,6,1,0,31,0,467659,0,0
1,45,33,3,2,44,0,632701,0,1
0,28,4,2,0,27,0,473159,0,0
1,59,18,3,2,57,0,879916,0,0
1,28,27,3,0,14,0,1729661,0,0
1,31,34,2,1,21,0,2109620,0,0
0,82,33,1,0,86,0,1411112,0,1
1,56,4,3,2,56,1,1091656,0,1
0,28,12,2,0,26,0,391244,0,0
1,28,32,2,0,13,0,332593,0,0
0,29,30,2,0,27,0,679612,0,0
1,33,0,3,3,8,1,851827,0,0
0,29,31,2,0,26,0,1255069,0,1
1,29,6,2,0,21,1,404780,0,0
1,26,18,2,0,19,0,2908929,1,1
0,72,18,1,2,110,0,490203,0,1
0,54,3,3,1,93,1,1546873,1,0
0,32,33,2,0,31,0,1264075,1,0
1,52,23,3,2,74,0,350312,0,1
1,51,34,3,2,68,1,2077544,1,0
1,28,10,2,2,19,0,1043587,0,0
0,34,7,2,0,21,0,587560,0,0
0,85,33,1,1,43,0,566743,0,1
1,57,4,1,1,92,0,453383,0,0
1,52,31,3,1,43,1,534373,0,1
0,47,27,3,2,103,1,509978,0,0
1,73,30,1,1,92,1,418300,0,1
1,31,11,2,0,33,0,1628530,0,0
0,50,20,1,3,14,0,728545,0,1
1,28,0,2,0,31,0,626622,0,0
1,58,1,3,1,25,0,345845,1,1
0,31,7,2,0,25,0,644235,0,0
1,30,24,1,0,20,1,420533,0,0
0,27,12,1,0,26,1,904471,0,0
1,28,13,1,0,21,0,1022690,0,0
0,44,0,3,1,32,1,1078795,1,0
1,56,19,1,3,15,0,857159,0,1
0,49,18,1,1,56,0,349147,0,1
0,35,29,1,0,25,0,1218071,0,0
0,32,33,1,0,20,0,387061,0,1
0,29,5,2,0,21,0,859633,0,0
0,26,2,2,0,13,1,791485,0,0
1,26,33,1,0,14,1,498515,0,0
1,60,18,3,2,116,0,1799918,0,0
0,31,11,2,0,31,1,3204658,1,0
1,75,4,1,1,13,0,1307570,0,1
1,29,29,1,0,27,0,791138,0,0
1,38,18,3,0,27,1,1984406,1,1
0,31,24,3,0,26,0,1140383,0,0
1,53,33,0,1,92,1,1965832,1,0
0,85,18,1,2,79,0,1327897,0,1
1,42,18,2,2,103,1,2000123,1,1
0,53,34,0,2,121,1,734712,1,0
0,36,19,2,0,27,0,910158,0,0
1,50,33,1,2,81,1,2436170,0,0
0,43,20,3,0,26,0,733057,0,0
1,50,19,3,2,51,0,1137286,1,0
0,53,18,3,2,49,0,1780249,1,0
1,58,33,3,2,45,0,850590,0,1
1,69,33,1,0,49,0,1874268,1,1
0,34,33,2,0,31,0,1408158,0,0
1,33,21,2,0,33,0,727272,0,0
1,49,29,1,2,87,0,290843,1,1
1,35,22,3,2,15,0,620365,0,0
0,29,11,2,0,14,1,560619,0,0
1,58,0,3,0,57,1,637391,0,0
0,68,34,1,2,73,1,2824085,1,1
0,44,4,3,1,98,0,758395,1,1
1,59,20,3,1,51,1,796603,1,0
1,29,18,2,0,27,1,1681503,0,0
1,52,34,3,3,7,1,615577,1,0
1,42,11,3,1,99,0,1580444,0,1
0,36,4,3,2,25,0,1861443,0,1
0,29,13,1,0,13,0,648026,0,0
1,45,18,1,1,63,0,802851,0,0
0,51,25,3,0,32,1,972832,0,0
1,29,4,2,0,33,0,1581752,0,0
0,29,17,3,0,31,0,346263,0,0
1,48,20,3,1,62,0,455742,0,0
0,68,34,1,1,56,1,991860,0,1
1,53,13,3,2,109,1,1029952,1,1
1,63,0,1,2,99,0,886484,0,1
0,31,18,1,0,13,0,1305932,0,0
1,30,27,2,0,27,0,788637,0,0
0,35,23,2,0,32,0,824469,0,0
1,24,32,2,0,15,0,1920913,0,1
1,54,20,3,1,91,0,534943,0,0
1,34,16,3,1,27,0,379255,0,1
0,54,3,3,1,56,0,1177923,0,1
0,28,11,2,0,20,0,487693,0,0
1,28,20,3,0,14,0,541476,0,0
1,31,19,2,0,25,0,590239,0,0
1,30,25,1,0,25,1,864109,0,0
1,61,18,3,1,92,0,1488889,0,1
1,32,15,2,0,19,0,713913,0,0
1,28,4,2,0,20,0,1352061,0,0
1,65,8,1,2,62,0,403570,0,0
0,26,26,2,0,19,0,517152,0,0
1,57,33,1,2,117,1,932542,1,1
1,71,13,1,2,51,0,825902,0,1
0,28,20,2,0,25,0,631997,0,0
1,50,27,3,2,92,0,246930,0,1
1,27,27,3,0,25,0,1100342,0,0
1,33,18,2,0,14,0,823534,0,1
1,56,33,3,1,91,0,1222922,0,1
0,29,24,1,0,14,1,1124764,0,0
1,52,30,0,1,99,1,1411904,1,1
1,53,33,1,1,62,1,564607,0,1
1,31,34,2,0,19,0,614651,0,1
1,31,11,2,0,25,0,968400,0,0
1,33,7,3,1,15,0,668603,0,1
0,31,18,2,0,27,0,510512,0,0
0,33,23,3,2,15,1,870847,1,0
1,41,25,0,1,57,1,883333,0,1
1,58,34,3,3,14,0,2854470,0,1
0,74,34,1,0,93,0,432913,0,1
1,59,33,1,0,80,1,2169935,0,1
0,39,33,3,1,49,1,661937,0,1
1,28,24,2,0,25,0,518318,0,0
0,43,18,3,2,13,1,1288248,0,0
1,27,4,2,0,25,0,2444634,0,0
0,54,4,3,1,97,0,991317,0,1
1,58,34,1,2,122,1,1059936,1,0
0,46,30,3,0,21,0,225810,0,0
0,51,18,3,2,85,0,3006651,0,1
0,26,13,3,0,19,1,646059,1,0
1,46,12,3,1,19,1,936110,0,0
0,30,25,2,0,26,0,878447,0,1
1,29,24,2,0,26,0,1088843,0,0
1,30,4,2,0,25,0,1569604,0,0
0,27,27,3,0,27,0,702147,0,0
0,44,29,1,1,21,1,1025760,0,0
0,30,18,1,0,26,1,3742280,0,0
1,64,20,1,1,14,0,1444559,0,1
0,57,18,1,2,127,0,5399905,0,1
1,48,25,3,2,62,1,1123847,0,0
0,25,4,2,0,13,0,1079231,0,0
0,33,6,2,0,33,0,505235,0,0
1,28,30,1,0,21,0,295827,0,0
1,33,9,2,0,14,1,244162,1,0
0,42,27,3,1,14,0,337078,0,1
0,32,18,2,0,27,0,1273848,0,0
1,85,27,1,2,98,1,807772,0,0
1,40,33,3,2,21,0,579924,0,1
1,32,18,1,2,49,1,1769631,1,1
1,30,18,2,0,19,0,2023833,0,0
1,81,10,1,1,61,0,887632,0,0
0,28,3,1,0,15,0,1115801,0,1
0,37,27,2,0,31,0,849095,0,0
0,28,27,2,0,31,0,1451563,0,0
0,36,7,2,0,25,1,820330,0,0
0,27,8,2,0,20,0,488992,0,1
1,33,18,2,0,21,0,1214378,0,1
0,29,4,3,2,21,0,1471659,1,0
1,51,18,3,1,55,0,290709,0,1
0,61,21,3,0,32,0,584240,0,1
1,29,17,2,0,27,0,732514,0,0
0,45,27,3,1,44,0,786163,0,1
0,25,20,2,0,27,0,846327,0,0
1,28,18,1,0,19,0,1178600,0,0
1,36,11,2,0,21,0,884232,0,0
1,47,29,3,3,13,0,267747,0,1
0,33,11,2,0,19,1,926988,0,0
1,62,18,1,2,109,0,1136716,0,0
0,65,4,1,2,57,0,966673,0,0
1,43,34,3,1,63,0,1184349,0,0
0,26,32,2,0,26,0,603464,0,1
1,29,34,2,0,13,0,1711078,0,1
1,27,4,2,0,19,1,4582859,0,0
1,37,18,3,2,51,0,1760402,0,1
1,75,15,1,2,25,1,3402603,0,1
0,55,24,3,1,61,1,718817,0,0
0,57,27,3,2,103,1,1453530,0,0
0,84,18,1,2,98,0,1196774,0,1
1,27,32,1,0,25,0,780147,0,0
1,50,33,0,2,97,1,1638000,1,1
1,28,11,2,0,19,0,646487,0,0
0,27,11,2,0,14,1,672617,0,0
1,26,13,1,0,13,0,780352,0,1
1,56,4,3,1,62,1,2406880,1,1
1,65,34,1,2,38,1,1771749,0,0
0,45,18,3,2,31,0,1817807,0,0
1,27,2,2,0,33,0,961983,0,0
0,30,18,2,0,19,0,2464828,0,0
1,51,30,3,1,110,0,690551,0,1
1,31,18,2,0,26,0,1154677,0,1
0,30,34,2,0,13,1,1707910,0,0
1,54,23,3,2,92,0,1299035,0,1
1,54,1,3,2,38,0,316323,0,1
0,30,30,3,0,33,1,982702,0,0
0,67,34,1,2,61,0,488022,0,1
0,47,5,3,1,49,0,895340,0,1
1,30,20,2,0,13,1,718141,0,0
0,39,30,3,0,19,0,475838,0,0
1,29,32,3,0,26,0,514064,0,0
0,29,4,1,0,26,0,3646392,0,1
1,32,20,1,0,33,0,441199,0,0
1,42,4,3,2,61,0,736466,0,0
1,48,34,3,2,27,1,1030112,0,0
1,63,18,2,2,115,1,1673831,1,1
0,46,19,1,1,67,0,896158,0,0
1,64,27,1,2,111,1,922351,1,0
0,55,18,3,1,13,1,668256,1,0
1,52,4,1,2,56,0,685789,0,0
0,48,26,3,1,50,0,753189,0,0
0,29,5,1,0,26,0,608315,0,0
1,28,33,2,0,25,0,3712821,0,0
0,47,13,3,1,56,0,541182,0,0
0,31,4,2,0,25,0,966148,0,0
1,29,11,2,0,32,0,448916,1,1
0,30,14,3,0,31,1,833591,0,0
0,28,4,2,0,27,0,613628,0,0
0,28,25,2,0,38,1,651391,1,0
1,56,0,1,2,97,0,856402,0,1
0,48,4,3,1,62,0,1336806,0,0
0,34,32,3,0,26,0,953234,0,0
0,32,19,2,0,31,0,559774,0,0
1,26,11,2,0,21,1,1034349,1,0
0,31,28,2,0,32,0,609400,0,0
1,51,32,3,1,63,1,1451661,0,0
1,46,33,3,1,21,0,975956,0,1
0,85,34,1,2,105,0,492481,1,1
0,33,23,2,0,31,1,958868,1,1
1,59,18,3,1,25,0,658617,0,0
1,47,18,3,2,93,0,1841267,0,0
0,53,18,3,1,19,1,845001,0,0
1,74,3,1,1,80,0,1580640,1,0
1,79,4,1,1,56,0,517081,0,0
0,24,30,2,0,15,0,733164,0,0
1,85,33,1,0,57,0,2437861,0,0
0,27,13,2,0,20,0,629416,0,0
1,28,11,1,0,21,0,522065,0,1
1,49,18,3,3,7,1,650536,0,1
1,50,19,1,1,79,1,842634,0,1
0,52,9,3,1,19,1,789990,0,1
1,29,20,2,0,33,0,507024,0,0
1,56,33,3,2,97,0,824246,0,1
0,29,31,2,0,25,0,687240,0,0
0,30,33,2,0,31,1,970509,0,0
0,46,18,3,1,93,0,749673,0,1
0,26,30,1,0,19,0,1655124,0,0
1,49,34,3,0,67,1,1520093,0,0
0,25,18,1,0,15,1,2579762,0,0
1,25,4,1,0,15,0,1324150,0,1
1,29,33,1,0,27,0,852904,0,0
0,29,33,1,0,14,1,680850,0,0
0,51,4,3,1,32,0,2738645,0,1
0,50,33,3,2,13,0,1040472,1,1
1,30,33,2,0,13,1,3109757,0,1
1,59,24,3,2,56,1,766263,0,0
0,54,18,1,2,110,1,3611700,1,0
1,49,33,3,1,25,1,1376207,1,0
0,31,18,2,0,32,1,3274167,0,0
1,29,13,2,0,21,1,657309,0,0
1,28,25,3,0,15,1,1596660,0,0
1,43,18,0,2,15,1,1588409,0,0
1,29,27,2,0,26,0,1091567,1,0
1,29,0,2,0,20,1,325223,0,0
1,42,4,3,1,27,0,1328093,0,1
0,30,10,2,0,26,0,789688,0,0
0,31,1,3,0,33,0,456712,0,0
0,48,34,1,2,109,0,1856771,0,1
1,31,33,2,0,32,0,1835491,0,1
0,27,19,2,0,25,0,1211129,0,0
0,29,24,2,0,19,1,1016255,0,0
1,28,11,2,0,15,0,661643,0,0
1,28,32,2,0,21,0,1322896,0,0
0,45,12,3,1,19,1,378445,0,0
1,27,19,1,0,27,0,639812,0,0
1,52,18,3,2,116,1,1800843,0,1
0,27,30,2,0,25,0,665978,0,0
1,35,20,2,0,20,0,695365,0,0
0,30,34,2,0,15,0,367623,0,1
0,48,18,3,1,73,1,959624,0,0
0,31,13,2,0,19,0,636447,0,0
1,64,33,1,2,110,1,852655,1,1
0,36,10,1,3,14,1,2947795,0,0
0,30,30,2,0,13,1,189062,0,0
0,37,3,1,0,32,1,894209,0,0
1,42,18,1,2,116,0,1775888,0,1
0,29,0,2,0,39,0,794049,0,1
1,26,20,2,0,19,0,624014,0,1
0,56,18,3,2,49,0,1089867,0,1
0,27,29,2,0,20,0,410076,1,0
0,50,20,3,1,67,0,463494,0,0
0,27,26,2,0,19,0,950128,0,0
0,52,34,3,2,13,0,1820851,0,0
1,72,27,1,1,57,0,2519785,0,0
0,42,34,3,1,27,1,1065063,1,1
0,82,31,1,1,49,0,929934,0,0
0,52,18,3,1,68,0,562560,0,1
0,45,23,3,1,67,0,1118694,0,1
0,41,33,1,0,57,1,499832,0,1
0,27,20,2,0,20,0,449485,0,0
1,28,22,2,0,19,0,505119,0,0
1,43,30,3,1,44,0,527325,0,0
0,27,34,2,0,14,0,673836,0,0
0,29,17,2,0,33,1,828438,1,0
0,61,33,3,1,85,0,1457001,0,1
0,30,4,2,0,27,0,1353351,0,0
0,49,34,3,2,74,1,1439815,0,0
0,44,33,1,0,38,0,804933,0,1
1,53,32,3,1,81,1,915988,0,1
0,43,22,3,0,8,0,371850,0,1
0,30,24,2,0,31,0,661323,0,0
1,54,22,1,2,80,0,1173767,0,1
0,50,18,1,2,92,0,475989,0,0
1,28,4,2,0,33,0,799353,0,1
1,28,20,2,0,21,0,877798,0,0
1,49,34,1,2,111,0,1368464,0,0
0,47,33,1,0,13,1,2279975,0,1
0,54,33,3,2,110,1,6505125,0,0
1,27,4,1,0,15,0,2513137,0,0
0,33,32,2,0,20,0,667793,0,0
1,27,20,2,0,20,1,1018516,0,0
0,34,25,3,3,14,1,511269,1,0
0,48,33,1,0,57,1,1251268,1,1
1,36,33,2,1,73,1,815017,0,1
1,57,4,3,1,27,1,943515,1,1
0,28,30,1,0,33,1,529639,1,1
1,79,4,1,2,33,0,1006883,0,1
1,28,23,2,0,20,0,827735,0,0
1,54,33,3,2,69,1,1581957,0,0
0,42,20,3,1,21,1,558670,1,1
0,28,11,2,0,27,0,1052184,0,0
0,31,27,1,0,20,0,1523760,0,0
1,28,27,2,0,13,0,591164,0,1
0,24,30,2,0,13,0,948651,0,1
0,42,30,3,1,19,0,904587,0,1
0,56,30,1,1,43,0,1241105,0,0
1,39,18,1,2,39,0,1141558,0,0
1,41,32,3,1,97,0,444804,0,1
0,53,7,3,0,20,0,738673,0,0
0,71,18,1,2,91,0,1798992,0,1
0,38,20,3,0,25,0,663922,0,0
1,46,11,3,1,87,0,892456,0,1
0,27,11,1,0,32,1,989893,0,0
0,64,18,1,2,129,1,1869356,0,1
0,26,31,2,0,26,1,766628,0,0
1,43,4,2,1,63,1,3308681,1,0
1,29,19,1,0,33,0,750973,0,0
1,40,30,3,2,61,0,1447202,0,1
0,52,33,3,2,117,1,1407739,0,1
1,29,4,2,0,25,0,775154,0,1
0,27,27,2,0,21,0,353659,0,0
1,59,2,2,1,93,1,487942,1,1
1,59,33,3,1,103,1,1282534,0,1
0,45,1,3,1,49,0,665248,0,1
0,46,18,3,1,56,0,885799,0,0
0,41,11,3,3,8,1,529461,0,0
1,31,30,1,0,20,0,539037,0,0
1,41,18,3,1,74,0,898081,0,1
1,53,4,3,2,73,1,1254873,1,0
0,25,8,2,0,13,1,1011965,1,0
0,29,26,1,0,37,1,704168,0,0
1,60,27,3,2,38,0,651622,0,0
0,25,24,3,0,13,0,641164,0,0
0,46,34,3,2,43,1,542855,0,1
0,51,33,3,1,61,1,965836,0,0
1,35,13,2,0,21,1,1104730,0,0
1,49,32,3,2,128,0,459765,0,1
0,27,17,1,0,15,1,1541132,0,0
0,62,18,1,1,50,1,2754194,0,0
1,45,31,3,2,79,1,738059,1,0
1,43,11,3,2,19,1,1461495,0,0
1,46,4,3,1,19,1,1975043,0,0
0,35,27,2,0,33,0,1639896,0,0
1,72,18,1,1,75,1,1059304,0,0
1,55,8,1,2,63,1,483768,1,0
1,24,11,2,0,15,0,488983,0,0
0,75,1,1,2,133,0,2326424,0,1
0,32,18,1,0,31,0,1474009,0,1
1,27,20,1,0,19,0,746558,0,0
0,33,24,2,0,21,0,688076,0,1
0,29,33,2,0,21,0,3890599,0,1
0,84,18,1,2,123,0,1449347,0,1
1,52,18,3,2,128,0,626649,0,0
0,30,19,2,0,32,0,1183780,0,0
1,28,20,2,0,19,0,233892,0,0
0,29,33,2,0,32,0,255394,0,0
0,31,30,2,0,27,0,620018,0,0
1,52,18,3,1,97,1,708600,1,0
1,27,34,3,0,14,0,1726048,0,1
0,82,27,1,2,74,0,564562,1,0
1,46,18,1,2,21,0,1470244,0,0
0,53,30,3,1,15,0,454175,0,1
0,51,33,3,2,98,1,2137869,1,1
1,62,24,1,1,55,0,848445,0,1
0,26,20,2,0,14,0,300971,0,0
1,24,11,2,0,15,0,852611,0,0
0,35,33,2,0,15,0,8378156,0,1
1,29,1,2,0,19,0,862499,0,0
1,25,7,2,0,14,0,767322,0,0
0,29,30,2,0,33,1,689055,0,0
0,38,33,3,3,15,0,671140,0,1
0,45,2,3,2,57,0,644644,0,1
1,59,33,3,2,69,1,3916560,1,1
0,29,11,1,0,19,0,1047369,0,0
1,53,18,3,2,73,1,2222187,0,0
0,44,30,1,2,117,0,673445,1,1
0,63,4,1,1,39,1,764892,0,1
0,38,23,3,0,32,0,1847284,0,0
0,48,30,3,2,21,0,1080210,0,1
1,67,18,1,1,62,1,1344603,1,0
1,48,18,1,0,62,0,512640,0,0
0,28,7,1,0,20,0,452716,0,0
0,33,4,2,0,25,0,1248963,0,0
0,26,20,3,0,20,0,526337,0,1
0,42,18,1,1,74,0,2571512,0,0
1,49,22,1,0,51,0,5216530,0,0
1,28,27,2,0,13,0,1493233,0,0
0,45,4,0,1,37,1,886653,0,1
1,61,23,3,2,14,1,773472,0,0
1,57,18,1,2,103,1,1120047,1,0
1,29,30,2,0,19,0,664367,0,0
1,62,18,1,2,116,0,2477021,0,1
1,62,4,1,1,43,0,1161975,0,0
1,25,4,3,0,14,0,4686410,0,1
0,25,18,1,0,15,0,719298,0,1
0,49,33,1,1,93,0,823970,0,0
1,57,34,1,2,116,1,1501723,1,1
0,27,2,1,0,14,1,708288,0,0
1,44,29,3,1,73,0,493727,0,1
1,47,27,3,2,105,0,3835499,0,1
0,50,7,3,1,61,1,307112,0,0
0,25,9,2,0,14,0,993791,0,0
0,51,34,3,2,117,0,1705774,0,1
0,33,27,2,0,31,0,2140272,0,1
0,51,1,3,1,93,1,1025867,1,1
1,49,1,3,2,55,0,329246,0,1
1,28,18,2,0,15,0,1111254,0,0
1,52,4,3,2,116,0,555876,0,1
1,39,18,3,0,44,0,1259795,0,0
0,29,24,2,0,33,1,1029454,0,0
1,28,4,2,0,14,0,1101517,0,0
0,33,18,3,1,15,0,485254,0,1
1,37,23,1,0,25,0,972004,0,0
1,26,15,2,0,21,0,1678655,0,0
1,27,30,1,0,14,0,1021123,0,0
0,29,4,2,2,21,0,1483879,0,0
1,40,20,3,0,38,1,1011716,0,0
0,37,13,2,0,20,1,758555,1,1
0,39,18,3,2,62,1,934847,0,0
0,24,31,2,0,15,0,775439,0,1
0,32,32,2,0,27,0,629835,0,0
1,46,34,1,1,75,1,983539,0,0
1,38,34,3,2,86,1,1107035,1,1
0,31,30,2,0,25,0,651960,0,0
0,37,4,2,0,26,0,392454,0,0
0,37,33,3,1,57,1,1225040,0,0
1,34,32,3,0,21,1,592793,0,0
1,43,18,1,0,33,0,561509,0,0
0,52,34,3,2,91,0,2153622,0,1
1,44,4,3,2,57,0,1027282,0,0
1,51,6,3,2,92,0,708920,0,1
1,28,4,1,0,25,0,1069699,0,0
1,35,0,2,0,33,1,620071,0,1
0,63,4,1,2,117,0,3189270,0,1
0,30,7,2,0,25,0,692268,0,1
0,51,33,2,1,21,1,635531,1,0
0,49,0,1,1,21,0,877620,0,1
1,61,34,3,2,87,0,481739,0,1
0,29,27,2,2,33,0,1005335,0,0
1,28,12,2,0,19,0,1512252,0,1
0,25,11,2,0,20,0,516849,0,0
0,29,4,3,0,37,0,745980,0,1
0,38,33,3,2,14,0,1143756,0,1
1,28,10,1,0,33,0,2854096,0,0
0,42,26,3,2,57,1,689224,0,1
0,30,4,3,0,33,0,970767,1,1
1,43,34,3,1,49,1,2474671,0,0
1,35,33,3,1,20,0,530564,0,1
0,31,33,2,0,32,1,567081,0,0
