Age,Workclass,fnlwgt,Education,Education_Num,Martial_Status,Occupation,Relationship,Race,Sex,Capital_Gain,Capital_Loss,Hours_per_week,Country,target
60,2,85413,11,9,2,13,0,4,1,0,0,44,38,1
37,2,136028,8,11,2,7,0,4,1,0,0,40,38,0
48,2,287480,12,14,2,12,0,4,1,0,0,40,38,1
32,2,188557,11,9,4,6,1,4,1,0,0,40,38,0
25,2,255474,9,13,4,0,1,4,0,0,0,40,38,0
28,2,314649,15,10,2,11,0,0,1,0,0,60,38,0
38,5,22245,10,16,2,9,0,4,1,0,0,45,38,1
37,2,238433,3,2,2,13,0,4,1,0,0,40,4,0
32,2,209691,9,13,2,11,0,4,1,0,0,42,38,1
51,3,166386,9,13,2,3,5,1,0,0,0,35,35,0
39,3,151029,11,9,2,3,0,4,1,0,0,40,38,1
53,2,192386,11,9,5,13,4,4,1,0,0,45,38,0
36,2,66304,15,10,2,13,0,4,1,0,0,45,38,0
44,2,109912,10,16,2,3,5,4,0,15024,0,32,38,1
59,2,316027,11,9,2,7,0,4,1,0,0,45,4,0
37,0,329088,11,9,2,0,0,2,1,0,0,40,38,0
18,2,120544,6,5,4,7,3,2,1,0,0,15,38,0
38,4,109133,12,14,2,3,0,4,1,0,0,70,38,1
19,2,177945,15,10,4,11,3,4,1,0,0,25,38,0
45,2,140644,10,16,0,9,1,4,1,0,0,45,38,1
30,2,205659,7,12,2,3,5,4,0,0,0,50,36,1
38,2,243872,9,13,2,11,0,4,1,0,0,70,38,1
19,2,175083,11,9,4,11,3,4,0,0,0,8,38,0
38,2,259019,11,9,2,2,0,4,1,0,0,44,38,0
46,2,59287,15,10,2,2,0,4,1,0,0,40,38,0
41,2,147372,11,9,2,0,0,4,1,0,0,48,38,0
30,2,163604,9,13,6,9,4,4,0,0,0,55,38,1
35,2,82622,11,9,0,3,1,4,1,0,0,50,38,0
43,1,265698,9,13,2,9,5,4,0,0,0,45,38,1
34,2,434463,9,13,4,6,1,4,0,0,0,39,38,0
54,2,225599,12,14,2,9,0,1,1,7298,0,40,18,1
29,2,270379,11,9,4,3,4,2,0,0,0,40,38,0
30,2,224147,11,9,4,13,3,2,1,0,0,40,38,0
43,2,222971,4,3,4,6,4,4,0,0,0,40,25,0
20,2,227778,15,10,4,11,1,4,0,0,0,56,38,0
29,2,107160,11,9,4,7,1,4,1,0,0,40,38,0
39,5,142897,8,11,4,3,4,4,0,0,0,50,38,0
19,5,135162,15,10,4,0,3,4,0,0,0,10,38,0
49,2,186172,11,9,2,2,0,4,1,7688,0,45,38,1
34,2,111415,11,9,2,11,0,4,1,0,0,70,38,0
39,2,191841,7,12,5,9,1,4,0,0,0,30,38,0
46,2,153501,11,9,4,13,1,0,1,0,0,40,38,0
31,2,265509,8,11,5,12,4,2,0,0,0,32,38,0
43,4,56920,11,9,2,2,0,4,1,0,0,60,38,0
37,2,64922,9,13,5,7,1,4,1,0,0,70,8,0
25,2,44861,11,9,4,7,1,4,1,0,0,40,38,0
53,2,122412,9,13,4,9,1,4,0,0,0,40,38,0
45,1,153312,12,14,2,9,0,2,1,0,0,10,38,1
25,2,248990,3,2,4,6,1,4,1,0,0,24,25,0
47,2,223342,11,9,0,0,4,4,0,0,1504,35,38,0
52,2,38795,11,9,0,2,1,4,1,0,0,40,38,1
33,2,159247,9,13,2,9,0,4,1,0,0,40,38,1
26,4,227858,15,10,4,7,1,4,0,0,0,48,38,0
67,2,288371,11,9,2,11,0,4,1,0,0,40,1,1
36,2,182863,9,13,2,3,0,4,1,0,0,50,38,1
48,1,121622,12,14,4,9,4,4,0,0,1380,40,38,0
17,2,73145,6,5,4,2,3,4,0,0,0,16,38,0
31,4,226696,8,11,2,4,0,4,1,0,0,60,38,1
21,2,211013,8,11,2,7,2,4,0,0,0,50,25,0
52,2,159755,9,13,2,3,0,4,1,0,1887,40,38,1
43,1,330174,11,9,2,2,0,4,1,0,0,40,38,0
39,2,115422,11,9,2,4,0,4,1,0,0,30,38,0
48,4,209146,11,9,2,13,0,4,1,0,0,60,38,0
68,2,195868,9,13,2,11,0,4,1,20051,0,40,38,1
41,2,262038,4,3,3,4,1,4,1,0,0,35,25,0
28,2,195573,11,9,2,13,0,4,1,0,0,50,38,0
47,4,172034,11,9,2,11,0,4,1,0,0,75,38,1
51,2,162988,0,6,0,7,4,4,0,0,0,25,38,0
48,3,26145,0,6,2,4,0,4,1,0,0,80,38,0
65,2,89681,12,14,4,9,1,4,1,0,0,99,38,0
45,2,162606,11,9,0,11,1,4,0,0,0,35,38,0
24,2,232841,11,9,4,7,1,4,1,0,0,35,38,0
18,2,318190,1,7,4,7,3,4,1,0,0,15,38,0
28,1,356089,9,13,4,9,2,4,1,0,0,50,38,0
56,2,33323,11,9,2,6,0,4,1,0,0,40,38,0
17,2,154908,0,6,4,7,3,4,0,0,0,10,38,0
22,2,190625,15,10,4,0,3,4,1,0,0,35,38,0
33,0,177945,11,9,2,0,0,2,1,0,0,40,38,0
27,2,176683,7,12,4,11,1,4,1,0,0,52,38,0
18,2,88642,15,10,4,11,3,4,1,0,0,15,38,0
54,2,378747,0,6,5,13,4,2,1,0,0,45,38,1
48,2,176140,1,7,0,7,4,2,0,0,0,40,38,0
54,2,172281,11,9,2,13,0,4,1,0,2051,50,38,0
44,2,83508,14,15,0,9,1,4,0,2354,0,99,38,0
37,2,179088,15,10,0,0,1,4,0,0,0,40,38,0
53,2,158993,11,9,6,6,4,2,0,0,0,38,38,0
22,2,203182,9,13,4,3,4,4,0,0,0,30,38,0
40,2,164678,7,12,0,9,4,4,0,0,0,32,38,0
45,3,121124,14,15,4,2,1,4,1,0,0,50,38,1
32,2,195891,7,12,2,9,0,4,1,0,0,45,38,1
19,4,285263,6,5,4,9,1,4,1,0,0,35,25,0
38,4,140117,15,10,4,7,1,4,0,0,0,20,38,0
28,2,176137,11,9,4,7,3,4,0,0,0,32,38,0
31,2,273324,15,10,4,7,3,4,1,0,1721,16,38,0
67,2,174693,15,10,6,11,1,4,0,0,0,25,26,0
23,2,69847,9,13,4,9,3,1,0,0,0,20,38,0
52,2,338816,15,10,2,3,0,4,1,15024,0,45,38,1
41,2,150533,11,9,2,11,0,4,1,2829,0,40,38,0
28,2,337664,11,9,4,6,3,4,1,0,0,40,38,0
23,2,162282,15,10,4,5,1,4,1,0,0,25,38,0
33,5,156015,9,13,2,3,0,4,1,0,0,40,38,1
36,1,178222,9,13,0,9,1,4,0,0,0,60,38,0
55,2,127014,11,9,2,7,0,4,1,0,0,60,38,0
38,2,203169,8,11,2,2,0,4,1,0,0,50,38,1
31,2,56510,15,10,2,2,0,1,1,0,0,40,38,0
50,2,169925,11,9,2,2,0,4,1,0,0,15,38,0
44,2,373050,11,9,2,13,0,4,1,0,0,40,38,0
48,2,176026,11,9,2,6,0,4,1,0,0,40,38,0
39,2,121590,15,10,4,9,1,2,1,4787,0,40,38,1
34,2,554206,11,9,5,13,1,2,1,0,0,20,38,0
24,1,103277,9,13,4,9,3,4,0,0,0,50,38,0
21,2,197997,15,10,4,0,3,4,1,0,0,30,38,0
30,2,315640,10,16,2,9,0,1,1,0,1977,40,2,1
20,2,196745,15,10,4,7,3,4,0,0,0,16,38,0
19,2,410543,11,9,4,0,1,4,0,0,0,40,38,0
31,2,106347,1,7,5,7,1,2,0,0,0,42,38,0
21,4,409230,15,10,4,0,3,4,1,0,0,30,38,0
51,2,169112,12,14,2,11,0,4,1,0,0,40,38,1
47,2,379118,11,9,0,7,4,2,1,0,0,9,38,0
23,2,195532,9,13,4,3,3,4,0,0,0,40,38,0
19,5,431745,1,7,4,7,3,4,1,0,0,30,38,0
28,2,167987,11,9,4,7,3,4,0,0,0,40,38,0
46,2,139514,13,1,2,6,2,2,1,0,0,75,5,0
36,4,245090,9,13,4,4,1,4,1,0,0,50,25,0
37,1,99935,12,14,2,10,0,4,1,7688,0,50,38,1
42,2,66755,5,4,2,2,0,3,1,0,0,40,38,0
26,2,126829,15,10,4,11,1,4,1,0,0,40,38,0
48,2,36503,15,10,2,3,0,4,1,0,0,40,38,1
28,2,54042,8,11,4,7,1,4,0,2463,0,35,38,0
47,2,464945,11,9,4,13,1,4,1,0,0,45,38,0
45,3,84324,7,12,2,9,0,4,1,0,0,50,38,1
43,2,262038,4,3,3,4,4,4,1,0,0,35,25,0
34,2,338416,0,6,0,6,1,2,1,0,0,60,38,0
29,2,227890,11,9,4,10,2,2,1,0,0,40,38,0
43,2,198330,12,14,6,9,4,2,0,0,0,37,38,0
29,2,236436,7,12,4,9,1,4,0,8614,0,40,38,1
44,2,192381,9,13,2,9,0,4,1,0,1848,40,38,1
26,2,89389,15,10,0,9,1,4,0,0,0,40,38,0
71,2,105200,11,9,2,10,0,4,1,6767,0,20,38,0
41,1,32185,12,14,2,3,0,4,1,0,0,40,38,1
30,4,226535,5,4,2,4,0,4,1,0,0,40,25,0
24,5,249385,9,13,4,0,2,4,0,0,0,10,38,0
21,2,254904,11,9,4,2,1,4,0,0,0,30,38,0
33,2,154227,8,11,0,11,1,4,1,0,0,40,38,0
35,4,462890,0,6,2,13,0,2,1,0,0,50,38,0
28,2,70034,5,4,4,0,3,4,1,0,0,40,31,0
41,2,67065,8,11,2,11,0,4,1,0,0,40,38,0
37,2,226947,8,11,2,2,0,4,1,0,0,40,38,1
47,3,109832,11,9,0,3,1,4,1,0,0,60,38,0
29,2,247445,11,9,0,11,1,4,1,0,0,45,38,0
31,2,168782,11,9,0,5,1,4,1,0,0,40,38,0
54,4,156800,9,13,2,2,0,4,1,0,0,50,38,0
35,2,183800,9,13,2,0,0,4,1,0,0,40,38,1
65,2,101104,11,9,2,11,0,4,1,9386,0,10,38,1
52,2,94391,11,9,2,0,0,4,1,0,0,40,38,0
35,2,102976,12,14,4,3,1,4,1,0,0,40,38,1
32,2,194740,15,10,2,2,0,4,1,0,0,55,11,0
27,2,244566,0,6,2,5,0,4,1,0,0,40,38,0
27,1,332785,11,9,4,10,3,4,1,0,0,38,38,0
28,2,60288,11,9,4,0,3,4,0,0,0,40,38,0
69,2,229418,11,9,2,13,0,4,1,0,0,40,38,0
53,2,209906,3,2,2,7,0,2,1,0,0,35,32,0
25,2,201579,6,5,4,2,1,4,1,0,0,40,25,0
55,1,31365,9,13,6,9,1,4,0,0,0,40,38,1
45,2,190482,8,11,2,2,0,4,1,0,0,76,38,0
42,2,182108,9,13,4,3,1,4,0,0,0,35,38,0
57,2,195876,11,9,2,2,0,4,1,0,0,40,38,0
41,2,49797,11,9,2,2,0,4,1,0,0,40,38,0
25,2,363707,11,9,2,5,0,4,1,0,0,40,38,0
41,2,384508,9,13,2,9,0,4,1,0,0,40,38,1
41,2,114157,11,9,0,6,3,4,1,0,0,40,38,0
21,2,205759,11,9,4,5,3,4,1,0,0,40,38,0
38,1,177305,9,13,2,9,0,4,1,0,0,38,38,0
51,4,127149,1,7,2,4,0,4,1,0,0,45,38,1
25,2,196771,11,9,4,5,1,4,1,0,0,65,38,0
39,2,108419,15,10,2,2,0,4,1,0,0,40,38,0
40,2,130571,11,9,4,7,1,4,0,0,0,40,38,0
33,2,168030,15,10,2,9,5,4,0,7298,0,21,38,1
37,2,356824,11,9,5,12,4,4,0,0,0,40,38,0
59,1,171328,11,9,5,10,2,2,0,0,2339,40,38,0
58,2,197114,1,7,2,2,0,4,1,0,0,40,38,0
46,2,35961,7,12,0,11,1,4,0,0,0,25,10,0
21,1,102942,15,10,4,7,1,4,0,0,2001,40,38,0
51,4,46401,15,10,2,9,5,4,0,0,0,40,38,1
32,2,171116,11,9,0,7,3,4,0,0,0,40,38,0
36,2,188834,6,5,2,13,0,4,1,0,0,50,38,0
20,2,505980,15,10,4,11,3,4,1,0,0,40,38,0
34,4,28568,11,9,0,3,1,4,1,0,0,60,38,1
48,2,240231,9,13,2,3,0,1,1,0,0,40,23,1
36,2,288049,11,9,2,3,0,4,1,0,0,45,38,0
42,2,195755,11,9,5,2,4,4,1,0,0,40,38,0
52,3,210736,9,13,2,11,0,4,1,0,0,60,38,0
43,2,241895,9,13,2,3,0,4,1,0,0,50,38,1
24,2,100669,15,10,4,5,3,1,1,0,0,30,38,0
35,2,241306,11,9,2,0,0,4,1,0,0,45,38,0
49,2,403112,11,9,0,7,4,2,0,0,0,32,38,0
62,2,272209,11,9,0,8,4,2,0,0,0,99,38,0
46,2,85109,15,10,2,6,0,4,1,0,1628,40,38,0
67,3,411007,11,9,6,3,1,4,0,15831,0,40,38,1
40,2,117860,11,9,0,7,1,2,1,0,0,40,38,0
47,2,108510,0,6,2,11,0,4,1,0,0,65,38,0
72,2,53684,15,10,2,10,0,2,1,0,0,40,38,0
23,2,45834,9,13,4,3,1,4,0,0,0,50,38,0
31,3,31740,8,11,2,4,0,4,1,0,0,55,38,0
27,2,153869,11,9,4,5,3,4,1,0,0,37,38,0
43,3,33729,9,13,2,11,0,4,1,0,0,45,38,1
36,2,176050,15,10,2,6,0,4,1,0,0,40,38,0
46,2,148738,11,9,2,5,0,4,1,0,1740,35,38,0
26,2,101812,11,9,4,6,4,4,1,5721,0,40,38,0
34,4,120672,5,4,4,5,4,2,1,0,0,10,38,0
38,1,745768,15,10,0,3,4,2,0,0,0,45,38,0
50,5,78649,15,10,3,0,4,0,0,0,0,40,38,0
22,2,446140,11,9,4,11,3,4,1,0,0,55,38,0
63,3,110890,12,14,0,9,1,4,1,0,0,70,38,1
48,4,328606,14,15,0,9,4,4,1,14084,0,63,38,1
28,2,51961,15,10,4,12,3,2,1,0,0,24,38,0
29,2,297544,11,9,2,2,0,4,1,0,0,40,38,0
44,4,163985,14,15,2,9,0,4,1,0,0,32,38,1
35,5,119421,9,13,2,3,5,4,0,0,0,35,38,1
46,0,110884,11,9,4,0,1,0,1,0,0,40,38,0
37,2,147258,6,5,2,6,0,4,1,0,0,50,38,1
28,2,405793,7,12,2,12,0,4,1,0,0,45,38,1
36,1,359001,15,10,2,10,0,4,1,0,0,48,38,0
22,2,73266,15,10,4,13,3,1,1,0,0,40,38,0
47,2,159389,7,12,4,0,1,4,0,0,0,40,38,0
42,2,98211,9,13,2,3,0,4,1,15024,0,45,38,1
23,2,335067,9,13,4,11,1,4,1,0,0,50,38,0
49,2,340755,12,14,2,11,0,4,1,0,0,40,38,1
39,2,380614,15,10,0,9,1,4,0,0,0,45,38,1
50,2,143953,11,9,2,11,0,4,1,0,0,65,38,1
43,2,220589,11,9,0,3,4,4,0,0,0,40,38,0
43,2,243580,9,13,2,9,0,4,1,0,0,40,38,1
36,2,172256,11,9,2,6,0,4,1,0,0,44,38,1
24,2,53942,9,13,2,6,0,4,1,0,0,40,38,0
62,4,182998,5,4,2,2,0,4,1,0,0,10,38,0
43,0,233851,11,9,2,0,5,4,0,0,0,40,38,1
60,2,325971,11,9,2,6,0,4,1,7688,0,40,38,1
33,4,327902,11,9,2,13,0,4,1,0,0,45,38,0
54,2,88278,10,16,2,9,0,4,1,0,1977,50,38,1
42,2,121718,15,10,2,0,0,4,1,0,0,40,10,0
26,2,247025,11,9,2,13,0,4,1,0,0,65,38,0
32,2,244147,11,9,4,2,4,4,1,0,0,10,38,0
38,5,125499,9,13,2,9,0,1,1,7688,0,60,18,1
17,3,143034,0,6,4,7,3,4,1,0,0,4,38,0
18,2,170544,1,7,4,11,3,4,1,0,0,20,38,0
44,2,121012,6,5,0,2,1,4,1,0,0,40,38,0
41,2,208330,15,10,2,11,0,4,1,0,0,51,38,0
47,1,200471,11,9,2,13,0,4,1,5178,0,40,38,1
67,4,123393,11,9,2,13,0,4,1,6418,0,58,38,1
24,2,154571,8,11,4,11,4,1,1,0,0,50,34,0
53,2,266529,8,11,2,3,0,4,1,0,0,40,38,1
20,2,115824,1,7,2,5,0,4,1,0,1573,40,38,0
28,2,181776,9,13,4,7,1,4,0,0,0,50,38,0
51,4,290688,4,3,2,2,0,4,1,0,0,40,38,0
43,2,238287,0,6,4,6,1,2,1,0,0,40,38,0
32,2,323055,11,9,2,2,0,4,1,0,0,40,38,0
35,0,287031,12,14,4,3,1,4,1,8614,0,40,38,1
44,4,445382,15,10,0,7,4,4,1,0,0,40,38,0
25,2,190107,9,13,4,2,3,4,1,0,0,40,38,0
51,2,269080,5,4,6,7,4,2,0,0,0,40,38,0
40,5,175304,15,10,0,11,1,4,0,0,0,40,38,0
49,2,240869,5,4,4,7,2,4,1,0,0,35,38,0
40,2,179666,9,13,4,3,1,4,1,0,0,30,1,0
46,2,185291,1,7,2,5,0,4,1,0,0,45,38,1
27,2,36440,9,13,4,11,1,4,0,0,0,40,38,0
46,2,173613,11,9,0,0,1,4,0,0,0,40,38,0
38,2,169104,12,14,2,3,0,4,1,0,0,60,38,1
58,2,160662,0,6,2,2,0,4,1,0,0,40,38,1
47,2,168211,11,9,2,2,0,4,1,0,0,44,38,0
29,4,229842,11,9,4,13,4,2,1,0,0,45,38,0
37,2,48268,11,9,2,3,0,4,1,0,0,55,38,0
67,4,40021,11,9,2,4,0,4,1,0,0,35,38,0
43,4,292175,12,14,0,3,4,4,0,0,0,45,38,1
23,2,54472,15,10,3,7,1,4,0,0,0,50,38,0
22,2,187538,0,6,5,7,4,4,0,0,0,40,38,0
41,1,111891,5,4,4,7,4,2,0,0,0,40,38,0
25,2,52536,7,12,0,12,3,4,0,0,1594,25,38,0
32,3,99309,11,9,2,3,0,4,1,0,0,40,38,1
31,2,32550,0,6,0,5,1,4,1,0,0,40,38,0
45,2,170871,11,9,2,2,0,4,1,7298,0,60,38,1
20,2,191910,11,9,4,10,3,4,1,0,0,40,38,0
59,2,199713,11,9,2,2,0,4,1,0,0,40,38,0
49,2,185385,7,12,2,11,0,4,1,0,0,45,38,0
43,2,320277,9,13,2,3,0,4,1,0,0,40,38,0
20,2,381357,6,5,4,5,3,4,1,0,0,28,38,0
51,2,41806,1,7,2,6,0,4,1,0,0,40,38,0
26,2,291968,9,13,4,9,1,4,1,0,0,40,38,0
55,2,176897,15,10,0,12,1,4,1,0,0,40,38,0
29,2,205249,12,14,2,3,0,1,1,0,0,40,23,0
19,2,184121,11,9,4,7,3,4,1,0,0,20,38,0
52,2,98752,6,5,6,0,4,4,0,0,0,40,38,0
37,1,247750,8,11,2,10,0,2,1,0,0,40,38,0
47,4,315110,15,10,2,9,0,4,1,0,0,20,38,0
25,2,25386,8,11,4,7,4,0,0,0,0,40,38,0
25,2,222254,11,9,4,7,1,2,0,0,0,40,38,0
31,2,373432,6,5,2,2,0,4,1,0,0,43,38,0
43,2,182254,15,10,0,9,4,4,0,0,0,40,38,0
26,1,283217,15,10,4,10,3,4,1,0,0,40,38,0
41,2,48087,5,4,0,2,1,4,1,0,1590,40,38,0
30,2,155659,11,9,0,7,4,4,0,0,0,36,38,0
24,2,21154,15,10,4,0,3,4,0,0,0,30,38,0
40,2,189666,11,9,2,7,0,4,1,0,0,45,38,0
29,2,32897,11,9,0,7,1,4,0,0,0,25,38,0
45,4,102771,9,13,2,13,0,4,1,0,0,40,38,1
43,2,413297,11,9,2,2,0,4,1,0,0,45,38,0
47,0,197332,9,13,0,9,1,4,1,0,0,40,38,0
32,2,212276,9,13,2,9,0,4,1,0,0,60,38,1
51,2,282744,9,13,2,4,0,4,1,0,0,40,1,0
42,5,211915,15,10,5,12,4,4,0,0,0,40,38,0
22,2,315524,15,10,4,0,3,2,1,0,0,30,5,0
43,2,188436,14,15,0,3,1,4,1,0,0,40,38,0
40,4,111971,11,9,2,2,0,4,1,0,0,30,38,0
17,2,143331,1,7,4,11,3,4,1,0,0,20,38,0
47,1,246891,9,13,2,10,0,4,1,0,0,40,38,0
56,2,177271,8,11,2,12,0,4,1,0,0,40,38,1
36,2,163278,12,14,4,9,1,4,0,0,0,40,38,0
30,2,140011,8,11,2,5,0,4,1,0,0,53,38,0
45,2,114032,14,15,2,9,0,4,1,0,0,60,38,1
34,2,104293,9,13,4,0,3,4,0,0,0,40,38,0
28,2,410450,9,13,0,7,4,4,0,0,0,48,8,1
28,2,232782,15,10,4,0,1,4,0,0,0,40,38,0
41,2,196344,3,2,2,11,0,4,1,0,0,50,25,0
43,2,194773,15,10,4,7,1,4,0,0,0,40,38,0
61,2,167138,11,9,0,3,1,4,0,0,0,40,38,0
58,4,140729,9,13,2,4,0,4,1,0,0,35,38,0
39,2,341672,8,11,2,12,0,1,1,0,0,40,29,0
30,2,399522,1,7,3,5,4,4,0,0,0,40,38,0
35,1,182570,7,12,2,10,0,4,1,0,0,40,38,1
63,4,179400,11,9,2,2,0,4,1,2290,0,20,38,0
27,2,132326,15,10,2,2,0,4,1,0,0,40,38,0
27,3,89718,15,10,5,11,3,4,0,0,0,40,38,0
47,2,345493,14,15,2,9,0,1,1,99999,0,55,35,1
33,2,549413,15,10,2,0,0,2,1,0,0,40,38,1
49,2,225124,11,9,6,6,4,2,0,0,0,40,38,0
32,2,151053,15,10,4,2,4,4,1,0,0,40,38,0
40,2,230961,15,10,2,11,0,4,1,0,0,40,38,0
50,3,67794,11,9,3,11,1,4,1,0,0,60,38,0
22,2,137862,15,10,4,0,2,4,0,0,0,16,38,0
22,2,107801,8,11,4,0,3,4,0,0,0,40,38,0
32,3,195447,9,13,2,11,0,4,1,0,0,45,38,0
21,2,132320,1,7,4,2,1,4,1,0,0,35,38,0
40,2,299813,1,7,4,6,1,4,0,0,0,37,5,0
34,3,62396,9,13,4,9,1,4,0,0,0,62,38,1
28,2,282398,15,10,5,12,4,4,1,0,0,40,38,1
57,2,104272,1,7,2,2,0,4,1,0,0,40,38,0
37,2,203828,6,5,2,13,0,4,1,0,0,65,38,0
35,4,171968,11,9,5,13,1,4,1,0,0,70,38,0
43,2,104660,9,13,5,9,4,4,1,0,0,45,38,0
56,2,266091,9,13,4,9,1,4,0,0,0,45,25,0
51,0,106257,7,12,2,12,0,2,1,0,0,40,38,0
28,2,124685,15,10,2,3,0,0,1,0,0,55,38,0
25,2,64671,11,9,0,5,3,1,0,0,0,40,29,0
26,4,384276,11,9,2,3,0,4,1,0,0,40,38,0
23,2,82889,15,10,4,0,3,4,0,0,0,16,38,0
58,5,136982,11,9,3,7,4,2,0,0,0,40,15,0
64,4,352712,8,11,2,4,0,4,1,0,0,55,38,0
20,2,157541,15,10,4,7,3,4,1,0,0,27,38,0
52,2,143953,9,13,2,9,0,4,1,0,1902,40,38,1
90,2,226968,5,4,2,6,0,4,1,0,0,40,38,0
62,2,178249,9,13,2,3,0,4,1,0,0,35,38,1
51,1,548361,9,13,2,9,0,4,1,0,0,26,38,0
25,2,178843,9,13,4,9,3,4,0,0,0,15,38,0
56,2,164332,11,9,2,11,5,4,0,0,0,15,38,0
61,4,352448,9,13,2,13,0,4,1,0,0,60,38,0
31,2,171871,12,14,4,9,1,4,0,0,0,46,38,0
30,2,243841,11,9,0,7,2,1,0,0,0,40,34,0
58,2,284834,7,12,0,0,1,4,0,0,0,40,38,0
