Gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,target
0,1,34,0,1,406,2,0,2,3,2,2,2,2,2,3,3,4,3,2,8,7.0,0
0,0,58,0,0,3824,2,2,2,2,5,4,4,2,2,1,2,3,2,1,0,5.0,0
0,0,46,0,1,1735,4,4,4,4,3,1,3,4,4,4,4,4,4,3,0,0.0,0
0,0,69,1,1,546,2,5,2,4,3,4,5,4,4,2,4,4,4,2,0,0.0,0
1,0,28,0,0,667,3,3,3,3,5,5,5,5,4,5,4,5,4,5,0,0.0,1
0,0,49,0,0,299,0,0,0,5,3,5,4,1,1,1,1,5,1,5,0,4.0,1
0,0,27,0,0,1846,2,2,2,2,4,4,4,4,5,3,3,5,5,4,1,8.0,1
0,0,11,1,1,393,2,4,2,3,3,2,3,3,1,3,3,2,2,3,5,0.0,0
0,1,25,0,0,821,3,1,3,3,2,3,2,2,2,2,4,4,4,2,19,3.0,0
1,0,38,1,1,591,4,2,4,3,5,4,2,5,3,1,3,3,4,5,1,0.0,1
0,1,37,0,0,923,2,2,2,3,2,2,2,2,3,3,4,4,5,2,0,0.0,1
1,1,56,0,0,227,3,3,3,1,2,3,3,2,4,3,4,5,5,2,0,0.0,0
0,0,71,0,0,431,3,5,5,5,4,3,2,3,3,2,3,4,3,3,0,0.0,0
0,0,22,1,0,936,4,3,4,4,2,4,2,2,5,2,4,2,3,2,10,5.0,1
1,0,42,0,0,323,4,3,3,3,3,2,3,4,4,3,4,4,4,3,4,10.0,0
0,1,26,0,0,429,2,0,2,5,4,2,4,4,4,4,4,5,4,4,42,40.0,0
0,0,10,1,1,1400,0,1,0,3,4,0,4,4,4,3,3,1,4,4,0,0.0,1
0,0,49,0,0,1537,5,5,5,5,2,4,4,4,4,4,4,5,4,4,7,23.0,1
1,0,29,0,2,329,0,0,0,1,2,0,2,2,5,3,1,2,2,2,0,0.0,1
1,0,57,0,0,2940,3,1,1,1,3,4,3,3,3,3,3,4,3,4,16,13.0,0
1,0,27,0,0,2230,1,1,1,1,4,4,4,4,2,4,3,5,2,4,0,0.0,1
1,0,43,0,1,231,1,3,3,3,1,1,1,1,2,1,3,3,4,1,0,0.0,0
0,0,69,0,0,494,1,4,4,4,1,3,3,1,1,1,1,4,1,3,64,70.0,0
0,1,27,0,2,479,2,2,2,4,3,2,3,3,3,5,3,4,3,3,11,6.0,0
0,0,51,1,1,883,3,3,3,4,1,4,4,5,5,3,5,1,5,1,33,48.0,0
0,0,41,1,1,1635,4,3,4,4,5,4,5,5,2,1,4,5,3,5,0,20.0,0
0,1,20,0,1,255,3,0,3,2,5,3,4,5,4,5,5,4,5,5,12,18.0,0
0,0,34,0,0,1782,3,3,4,3,5,4,5,4,4,4,4,3,4,3,28,16.0,1
0,1,33,0,0,395,4,4,4,4,4,4,4,4,5,2,5,5,5,4,20,0.0,0
1,0,68,1,0,337,1,4,3,3,4,3,3,2,2,3,2,1,2,3,0,0.0,0
0,0,25,0,0,626,2,4,4,4,2,2,2,2,2,2,3,3,3,2,43,55.0,0
1,0,59,0,0,1491,3,3,3,3,2,4,5,4,4,5,4,5,4,3,20,0.0,1
1,0,25,0,0,583,3,1,1,1,3,3,3,3,2,5,4,1,4,3,0,0.0,0
0,0,47,0,0,2962,2,2,2,2,2,5,4,5,5,5,5,5,5,3,0,0.0,1
0,1,38,0,1,147,2,0,1,4,2,1,2,2,5,2,2,2,2,2,0,3.0,0
0,0,18,1,1,919,2,4,2,4,2,2,2,2,5,5,1,5,5,2,35,50.0,0
1,0,30,0,1,247,3,2,3,2,3,3,3,3,1,3,4,3,4,3,0,0.0,0
0,0,40,0,0,2377,1,1,2,1,2,5,4,2,2,2,2,5,2,4,32,31.0,1
1,1,17,0,1,1012,1,2,2,4,1,2,1,1,2,5,4,3,3,1,0,3.0,0
0,0,77,0,0,319,4,4,1,4,3,4,4,4,4,4,4,1,4,3,0,15.0,0
0,0,56,0,0,2809,4,4,4,4,2,4,4,5,5,5,5,4,5,3,11,25.0,1
0,0,8,1,1,304,1,4,1,5,1,1,1,1,5,4,4,4,4,1,0,0.0,0
1,0,51,0,0,1045,4,4,4,4,3,4,4,5,5,5,5,4,5,4,0,0.0,1
0,0,31,0,0,3916,4,4,4,4,5,5,5,5,4,5,5,5,4,5,0,0.0,1
1,0,60,0,0,3647,2,2,2,2,4,5,5,5,5,4,5,5,5,5,0,0.0,1
1,0,27,0,1,1235,4,1,1,1,4,4,4,1,1,3,4,4,2,4,391,354.0,0
0,1,28,0,1,763,3,3,3,4,5,3,4,5,3,3,3,3,4,5,29,61.0,0
0,0,42,1,1,1205,3,4,3,4,5,4,4,5,5,3,5,2,5,3,106,89.0,0
0,0,55,0,1,200,3,1,4,1,5,3,4,4,4,3,4,3,4,3,0,15.0,1
0,0,59,1,1,2296,1,4,1,1,5,3,4,1,1,1,1,4,1,3,5,0.0,0
1,0,58,0,0,1620,1,1,1,1,5,5,4,5,5,5,5,3,5,5,58,67.0,1
1,0,46,0,1,696,2,3,3,3,2,2,2,2,2,1,4,1,3,2,8,11.0,0
1,0,55,0,0,2806,3,3,4,3,3,4,3,3,3,3,3,2,3,2,2,0.0,0
1,1,27,0,0,130,4,4,4,1,3,4,3,3,5,2,4,3,4,3,0,0.0,1
0,0,59,1,2,156,1,5,1,3,4,4,5,3,3,1,3,4,3,5,26,19.0,0
0,0,28,0,0,1598,5,5,5,5,4,4,4,4,5,3,3,3,5,4,0,0.0,1
1,0,29,0,0,323,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.0,1
1,0,51,0,0,3276,1,1,1,1,2,5,5,3,3,4,3,5,3,5,0,0.0,1
0,1,36,0,1,190,4,0,3,5,3,3,3,3,2,2,4,4,4,3,0,0.0,0
0,0,37,0,0,3638,3,3,3,3,2,5,4,5,5,5,4,5,5,4,0,0.0,1
0,0,47,0,0,3484,4,4,4,4,5,4,1,4,4,4,4,5,4,1,29,5.0,1
1,1,38,0,2,83,1,2,2,4,5,2,5,5,1,4,5,5,1,5,5,11.0,0
1,0,51,0,0,873,3,3,3,3,5,4,4,4,4,4,4,4,4,3,0,0.0,1
1,0,62,1,1,1671,3,4,3,4,1,3,3,1,3,1,4,1,3,1,12,2.0,0
1,0,10,1,1,113,1,1,1,3,4,1,4,4,3,3,3,3,3,4,0,9.0,0
1,0,55,0,0,373,4,4,4,4,2,4,4,4,4,4,4,1,4,4,9,10.0,1
1,1,29,0,0,1171,0,0,0,4,3,0,3,3,3,4,5,3,4,3,0,0.0,1
0,0,26,1,1,257,3,4,0,3,5,0,5,5,1,1,3,4,4,5,11,4.0,0
0,1,22,0,1,647,1,3,1,3,3,1,3,3,2,2,3,3,3,3,3,0.0,0
0,0,32,0,0,2841,5,5,5,5,4,4,4,4,5,2,5,4,5,4,3,1.0,1
1,0,16,1,1,359,4,4,4,2,3,4,3,3,4,2,4,4,4,3,0,0.0,0
0,0,60,0,1,872,3,2,2,2,4,4,4,3,3,3,3,1,3,4,16,0.0,0
0,0,42,1,2,341,1,5,1,5,5,5,4,2,2,1,4,4,2,4,0,0.0,0
0,0,48,1,1,615,2,2,2,3,2,3,4,5,5,2,5,2,5,3,11,15.0,0
0,0,9,1,1,1448,1,1,1,1,2,1,2,2,4,1,1,2,1,2,0,0.0,0
0,1,42,0,0,429,3,3,3,4,3,3,3,3,4,5,4,3,4,3,13,2.0,0
1,1,27,0,1,451,2,5,2,3,4,2,4,4,1,3,4,2,4,4,92,93.0,0
1,0,45,0,0,321,3,3,3,3,5,5,5,5,5,5,5,4,5,4,0,1.0,1
1,0,62,1,1,872,2,3,2,2,4,2,4,4,4,5,2,1,3,4,0,0.0,0
1,0,37,0,0,300,5,5,5,5,4,1,3,5,5,4,5,4,5,3,6,0.0,1
1,0,47,1,1,414,4,3,4,4,5,4,5,5,4,3,4,2,4,5,0,0.0,1
1,0,28,1,1,857,2,4,2,1,2,2,2,2,3,5,5,5,5,2,0,0.0,0
0,0,54,0,0,3628,4,4,4,4,3,5,5,4,4,4,4,3,4,3,14,6.0,1
0,0,49,0,1,780,5,5,5,5,3,1,4,5,5,5,5,4,5,4,28,5.0,1
1,0,59,0,0,442,5,5,5,5,2,2,1,4,4,4,4,2,4,3,8,0.0,1
1,0,20,0,0,2391,2,1,1,1,2,2,2,2,2,4,3,2,3,2,0,0.0,0
0,0,44,0,0,3384,5,5,4,5,5,5,4,3,3,3,3,3,3,5,0,0.0,1
1,0,12,1,1,1313,3,2,3,3,5,3,5,5,2,3,3,1,2,5,6,0.0,0
1,0,27,0,0,1400,5,1,5,5,2,2,2,2,5,4,5,5,5,2,0,0.0,1
1,0,44,0,1,119,4,3,4,3,4,4,4,4,3,4,3,5,5,4,32,40.0,1
0,0,23,1,1,1021,1,5,1,5,5,1,3,5,2,5,1,4,5,5,0,0.0,0
1,1,25,0,0,333,5,0,5,4,2,5,2,2,5,5,5,5,5,2,0,4.0,1
0,0,22,1,1,999,3,3,3,3,2,3,2,2,4,3,1,5,2,2,10,0.0,0
0,0,41,0,0,2757,5,5,5,5,2,5,4,4,4,4,4,5,4,5,0,3.0,1
1,0,8,1,2,264,3,3,3,4,4,3,4,4,2,5,4,3,2,4,0,0.0,0
0,0,21,1,1,1119,1,3,0,4,4,0,4,4,2,5,3,2,3,4,0,2.0,0
1,1,27,0,1,164,1,3,1,3,4,1,4,4,3,3,3,2,4,4,0,0.0,0
1,0,34,0,2,964,5,4,4,4,5,5,5,5,1,1,3,4,3,5,0,18.0,1
0,0,25,0,0,581,2,5,5,5,2,2,2,2,4,5,3,4,3,2,74,87.0,0
1,0,14,1,2,749,3,3,3,1,4,3,4,4,3,4,2,4,2,4,7,11.0,0
1,1,36,0,0,761,2,1,1,4,4,1,4,4,4,4,5,5,5,4,0,1.0,0
0,0,21,0,0,1522,2,3,3,3,2,2,2,2,4,5,3,3,4,2,0,0.0,0
1,0,59,0,0,679,3,2,2,2,2,3,4,3,3,3,3,1,3,3,3,0.0,0
1,0,27,0,0,631,2,3,2,2,5,4,5,5,5,3,5,4,4,5,0,0.0,1
1,0,30,0,1,399,0,0,0,5,3,0,3,3,2,4,1,5,1,3,0,0.0,1
0,0,58,0,0,1838,3,3,3,3,4,3,5,5,5,5,5,5,5,5,0,0.0,1
0,0,60,0,0,2106,1,1,1,1,2,4,3,1,1,1,1,2,1,4,24,27.0,0
0,1,23,0,1,746,2,2,2,2,2,2,2,2,1,1,1,3,3,2,0,0.0,0
0,1,51,1,1,978,3,5,3,2,5,3,5,5,5,2,5,3,4,5,2,20.0,0
1,0,52,0,0,1488,5,5,4,5,2,4,4,5,5,5,5,3,5,3,21,2.0,1
1,1,35,0,0,236,1,1,1,4,2,1,2,2,4,1,3,1,3,2,0,0.0,0
1,0,19,1,1,345,4,3,4,4,4,4,4,4,4,2,1,4,3,4,4,0.0,0
0,0,43,0,1,1592,3,1,5,1,4,4,3,3,3,3,3,3,3,3,0,12.0,0
0,1,43,0,1,86,3,0,3,4,2,3,2,2,4,3,4,3,2,2,37,36.0,0
1,0,13,1,1,157,2,5,0,5,1,0,1,1,3,3,1,5,2,1,0,0.0,0
0,1,41,0,0,189,3,3,3,4,5,3,5,5,1,1,3,3,3,5,0,0.0,0
1,0,59,0,0,1795,4,4,4,4,2,5,4,4,4,4,4,3,4,3,0,0.0,1
0,0,53,0,0,1541,2,2,2,2,2,5,5,4,4,5,4,3,4,4,8,5.0,1
0,0,46,1,1,247,3,5,3,4,4,4,5,5,5,3,5,3,5,5,13,10.0,0
0,1,60,0,0,1546,3,3,3,2,5,3,3,5,5,5,5,4,5,5,0,0.0,0
0,0,57,0,0,2586,2,2,2,2,3,5,5,3,3,3,3,3,3,3,0,0.0,1
0,1,30,0,2,954,2,2,2,2,3,2,3,3,2,1,2,3,2,3,4,21.0,0
1,0,70,1,1,1145,3,4,3,2,5,3,3,5,4,5,3,5,5,5,13,1.0,0
1,0,59,0,0,2323,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,0.0,1
0,0,41,0,0,3422,5,2,5,5,4,4,4,3,3,4,4,4,3,5,0,0.0,1
0,0,42,0,0,2475,2,2,2,2,4,4,5,5,5,5,5,3,5,5,0,0.0,1
1,0,29,0,0,700,2,4,4,4,2,2,2,2,2,4,3,1,3,2,3,8.0,0
1,0,46,1,1,446,3,3,4,1,2,4,2,2,3,4,3,5,2,2,81,72.0,0
0,0,32,1,1,212,3,4,3,3,5,3,5,5,5,2,5,3,3,5,0,0.0,0
1,0,46,0,0,3809,2,2,2,2,4,3,5,5,5,5,4,2,5,3,0,4.0,1
1,1,24,0,1,189,5,0,5,4,2,5,2,2,3,3,4,4,4,2,0,0.0,1
1,1,37,0,0,444,3,3,3,1,4,3,4,4,3,2,4,5,5,4,2,0.0,0
1,1,25,0,1,67,2,4,2,1,1,2,3,1,2,5,2,1,1,1,31,61.0,0
0,0,46,0,2,372,3,2,2,2,4,4,3,3,3,3,3,2,3,4,0,0.0,0
1,0,30,0,0,3496,3,3,3,3,2,2,2,2,3,2,5,4,4,2,0,0.0,1
1,0,55,0,2,237,5,4,4,4,4,5,4,4,2,5,5,1,4,4,0,0.0,1
0,0,29,1,1,315,5,5,5,4,2,5,2,2,4,5,4,3,4,2,0,13.0,1
1,0,44,0,0,2554,3,5,5,5,2,2,4,3,3,3,3,2,3,1,5,9.0,0
0,0,62,0,0,3599,4,1,1,1,2,4,4,4,4,4,4,3,4,3,93,71.0,0
1,1,39,0,1,565,1,0,1,5,4,1,5,4,2,1,2,3,4,4,12,0.0,0
1,0,53,0,0,2521,1,1,4,1,2,3,4,4,4,4,4,5,4,4,0,9.0,1
0,0,65,0,0,979,3,3,3,3,2,5,4,5,5,5,5,5,5,4,0,0.0,1
1,0,56,0,0,1481,2,2,2,2,5,4,4,5,5,5,5,4,5,5,0,0.0,1
1,0,23,0,0,3402,4,4,4,4,4,4,4,4,5,2,5,4,2,4,0,0.0,1
0,0,42,1,1,2677,2,4,2,4,3,3,4,3,3,2,3,2,3,1,1,0.0,0
0,1,48,0,1,1276,3,3,3,4,4,3,4,4,3,1,3,2,4,4,0,0.0,0
0,0,61,1,1,363,4,2,4,4,4,3,3,2,5,4,4,3,3,3,127,133.0,0
0,0,39,1,1,239,1,5,1,1,4,1,4,4,5,5,4,3,2,4,29,24.0,0
0,0,23,0,0,2454,3,3,3,3,5,5,5,5,3,2,3,5,4,5,9,0.0,1
1,0,50,0,0,684,5,5,5,5,3,4,4,4,4,4,4,4,4,3,0,0.0,1
0,0,37,1,1,1325,1,5,1,2,2,1,2,2,3,3,2,1,5,2,6,0.0,0
1,0,48,0,1,598,5,2,2,2,5,5,5,5,5,2,1,5,1,5,9,4.0,1
0,0,40,0,0,2994,3,3,3,3,4,4,4,5,4,4,5,4,4,4,0,6.0,1
0,0,43,0,0,1325,4,3,4,4,5,4,4,4,4,4,4,5,4,3,0,0.0,1
0,1,30,0,1,356,2,4,2,3,2,2,5,2,2,1,3,2,4,2,0,10.0,0
1,0,52,0,1,432,5,4,4,4,5,5,5,5,5,2,3,3,1,5,1,0.0,1
0,0,12,1,1,1947,1,5,0,2,5,0,5,5,3,4,3,5,4,5,0,7.0,0
0,0,55,0,1,528,3,1,1,1,5,4,3,3,3,3,3,3,3,1,48,31.0,0
0,1,36,0,1,520,2,1,2,3,1,2,1,1,2,1,3,4,3,1,0,10.0,0
1,0,50,0,0,998,5,5,5,5,5,5,5,4,4,4,4,5,4,4,9,5.0,1
1,0,66,1,1,321,2,4,1,3,3,1,3,3,1,1,3,3,4,3,6,0.0,0
0,0,57,1,1,404,3,5,3,2,4,4,5,5,5,3,5,4,5,5,0,0.0,0
1,0,59,1,1,655,3,1,3,2,1,3,1,1,2,2,1,2,3,1,0,0.0,0
1,0,49,0,1,201,4,5,5,5,4,4,4,4,2,2,3,4,5,4,0,0.0,1
0,0,20,1,1,1979,2,3,2,4,4,2,2,4,4,2,4,1,4,4,0,2.0,0
0,0,21,1,2,1121,2,4,2,2,5,2,1,5,5,2,4,4,5,5,23,0.0,0
1,1,28,0,1,261,1,3,1,2,3,1,3,3,3,3,3,2,3,3,0,0.0,0
1,0,50,1,1,1065,1,5,1,5,5,1,2,5,3,3,5,3,5,5,0,0.0,0
1,0,60,0,1,282,4,2,2,2,4,4,4,4,4,2,2,2,3,4,0,0.0,1
0,0,53,0,0,516,1,1,5,1,5,1,4,5,5,5,5,1,5,5,0,0.0,1
1,0,34,0,0,1911,5,5,4,5,4,5,5,4,4,4,4,2,4,3,6,0.0,1
1,0,54,1,2,134,3,2,3,4,4,3,4,4,4,1,4,3,4,4,0,0.0,0
1,0,58,1,1,277,2,1,2,4,3,2,5,3,2,4,3,3,4,3,0,0.0,0
0,0,42,1,1,139,1,0,1,1,5,4,5,3,3,1,3,4,3,4,3,0.0,0
0,0,29,1,1,337,3,3,1,3,3,1,3,3,3,3,2,1,5,3,3,0.0,0
0,0,58,1,2,432,3,5,3,2,5,4,4,2,2,3,5,3,2,5,0,0.0,0
0,0,25,1,2,125,1,3,0,2,2,0,2,2,5,1,2,2,3,2,0,0.0,0
0,0,43,0,0,1726,4,4,4,4,2,5,4,4,4,4,4,4,4,3,1,6.0,1
0,1,27,0,0,805,0,0,0,2,1,0,1,1,5,3,3,4,4,1,0,5.0,1
1,0,15,1,1,317,5,5,3,1,5,3,5,5,5,2,5,5,1,5,8,0.0,1
0,0,25,0,0,3939,1,1,3,1,5,4,5,5,5,4,5,4,4,5,22,11.0,1
1,0,28,0,2,563,5,1,1,1,5,5,5,5,3,1,5,5,2,5,0,0.0,1
1,0,68,1,1,370,0,2,0,4,4,0,4,4,3,2,3,2,3,4,0,0.0,1
1,0,52,1,1,639,4,4,4,3,2,4,2,2,4,4,4,5,5,2,8,36.0,0
1,0,42,0,0,2266,3,3,3,3,5,3,3,5,5,5,5,5,5,4,0,0.0,1
0,0,38,0,0,1547,3,3,5,3,5,5,4,5,5,5,5,3,5,3,0,14.0,1
0,0,43,0,0,1728,4,4,4,4,2,4,4,4,4,4,4,3,4,5,5,0.0,1
0,0,38,0,1,677,3,1,1,1,3,3,3,3,3,5,4,1,3,3,19,10.0,0
0,0,25,1,1,922,3,5,3,3,4,3,4,4,5,2,4,3,5,4,1,0.0,0
0,1,23,0,1,782,2,2,2,1,2,2,2,2,3,5,2,2,2,2,20,30.0,0
0,0,60,0,0,1587,2,5,5,5,1,3,4,2,2,2,2,3,2,3,7,0.0,0
1,0,48,0,0,632,3,3,1,3,2,4,4,4,4,5,4,5,4,5,0,0.0,1
1,0,16,0,0,2567,3,1,5,1,3,3,3,3,3,1,4,3,4,3,2,17.0,0
0,1,23,0,1,545,4,5,3,3,2,3,2,2,5,3,5,5,4,2,0,0.0,1
0,0,56,0,0,1390,4,4,4,4,5,5,5,5,5,5,5,5,5,4,2,0.0,1
0,1,47,0,1,719,4,4,4,4,2,4,2,2,4,3,3,4,3,2,12,32.0,0
1,0,63,0,2,721,3,3,3,3,3,3,3,3,3,5,3,1,3,3,42,47.0,0
1,0,52,0,1,2475,4,2,2,2,4,4,4,5,2,5,4,4,4,4,0,25.0,1
1,0,20,1,1,668,4,4,4,3,1,4,1,1,4,4,5,5,4,1,5,0.0,1
0,0,57,0,0,446,5,5,5,5,4,5,4,5,5,5,5,4,5,5,0,0.0,1
0,0,49,0,0,2565,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0.0,1
1,0,57,1,1,436,3,5,3,2,5,3,5,5,4,2,4,3,5,5,69,74.0,0
0,0,20,0,2,1460,2,4,4,4,2,2,3,2,1,5,4,2,3,2,15,9.0,0
0,0,48,1,1,401,2,1,2,1,1,2,1,2,2,2,2,2,2,2,0,0.0,0
0,0,53,0,1,481,5,4,4,4,3,1,3,5,5,5,5,5,5,1,1,1.0,1
1,0,28,0,0,2801,4,4,4,4,4,4,4,4,3,2,4,3,2,4,14,38.0,1
1,0,29,1,1,2475,3,1,3,3,3,3,3,1,3,3,3,3,1,3,0,0.0,0
0,0,67,1,1,895,3,1,4,4,2,3,4,5,5,4,5,2,5,2,0,0.0,0
1,0,58,1,1,237,1,4,1,1,5,1,5,5,3,3,2,1,4,5,0,0.0,0
0,1,26,0,1,102,2,3,2,2,1,2,1,1,3,3,3,1,3,1,0,0.0,0
1,0,51,0,0,2296,3,3,3,3,5,5,4,5,5,5,5,3,5,3,2,0.0,1
0,0,35,0,1,2475,4,5,5,5,4,4,4,4,4,4,4,4,1,4,1,18.0,0
1,0,35,0,1,589,3,2,2,2,2,3,3,1,4,1,1,3,4,3,202,203.0,0
0,1,22,0,1,121,4,5,4,3,2,4,2,2,5,3,5,5,5,2,0,0.0,1
1,0,30,0,0,1931,5,5,5,5,5,5,5,5,3,3,5,3,3,5,0,0.0,1
1,0,60,0,0,2419,5,5,5,5,4,4,4,4,4,4,4,3,4,5,1,0.0,1
0,1,20,0,2,1009,2,0,2,3,3,2,2,3,3,1,3,3,3,3,2,0.0,0
0,0,38,0,0,3570,3,3,3,3,5,4,5,4,4,4,4,5,4,3,4,6.0,1
0,0,24,0,0,2229,0,0,0,2,5,5,5,5,1,4,4,2,3,5,0,1.0,1
1,0,27,0,0,2808,4,4,1,4,4,4,4,4,4,4,5,3,4,4,58,46.0,1
1,0,46,0,1,1107,2,2,2,2,2,2,2,2,4,4,3,1,3,2,12,3.0,0
1,0,13,1,2,651,3,1,3,2,5,3,5,5,3,1,1,4,2,5,14,10.0,0
0,0,40,0,0,2556,1,1,1,1,5,4,5,5,5,4,5,3,5,3,4,7.0,1
1,0,61,0,0,2458,3,4,4,4,4,2,3,3,3,3,3,4,3,1,5,1.0,0
0,1,46,0,1,406,3,0,4,3,5,4,5,5,1,5,4,2,4,5,0,17.0,0
0,0,13,1,1,762,1,5,1,4,2,1,2,2,4,3,5,4,4,2,0,6.0,0
1,0,31,0,0,532,3,1,1,1,3,3,3,3,1,2,4,1,4,3,0,0.0,0
0,0,55,0,0,1663,5,5,5,5,5,4,5,4,4,4,4,4,4,4,0,0.0,1
0,1,28,0,1,421,2,3,2,2,5,2,5,5,1,2,4,4,5,5,0,1.0,0
0,0,22,0,1,304,5,1,1,1,5,5,5,5,5,5,4,2,1,5,0,0.0,1
0,0,53,0,0,1635,2,2,2,2,2,3,5,4,4,4,4,4,4,3,0,0.0,1
0,0,39,1,1,368,3,5,3,1,2,3,2,2,3,2,5,1,5,2,0,0.0,0
0,1,8,0,1,700,3,4,4,4,5,4,5,5,2,1,4,4,4,5,0,0.0,0
0,1,16,0,0,1149,0,0,0,2,0,2,2,4,4,3,4,2,3,2,11,3.0,1
1,0,35,1,1,421,2,2,2,3,1,2,1,1,3,3,2,2,2,1,51,58.0,0
1,0,61,0,0,2249,5,5,5,5,2,4,4,4,4,4,4,4,4,5,1,0.0,1
0,0,34,0,0,1668,4,4,4,4,3,5,4,4,4,4,4,4,4,5,0,0.0,1
0,0,38,1,1,288,3,2,3,4,1,3,1,1,2,2,3,2,4,1,7,0.0,0
1,0,32,0,1,930,2,5,3,5,2,2,2,2,3,1,3,1,4,2,54,70.0,0
0,0,39,0,0,3000,2,5,5,5,4,3,4,2,2,2,2,4,2,3,36,37.0,0
0,0,72,0,1,1670,4,2,2,2,2,2,4,5,5,4,5,2,5,4,0,0.0,0
1,0,23,0,0,1759,3,3,3,3,4,4,4,4,2,3,5,3,3,4,0,0.0,1
0,0,10,0,0,2565,1,3,3,3,1,1,1,1,1,3,4,3,3,1,6,3.0,0
0,0,13,0,0,488,3,3,3,3,3,3,3,3,3,1,3,2,3,3,23,28.0,0
1,1,23,0,1,987,5,5,5,4,1,5,1,1,3,3,4,5,5,1,0,0.0,1
1,1,33,0,1,164,2,2,2,3,1,2,1,1,4,5,3,2,3,1,4,26.0,0
1,0,52,0,0,3919,5,5,5,5,3,4,4,4,4,4,4,3,4,5,10,1.0,1
0,1,21,0,1,846,3,3,3,2,1,3,1,1,2,1,3,4,3,1,0,0.0,0
0,1,23,0,1,125,3,0,2,1,3,2,3,3,4,4,5,5,4,3,0,0.0,0
0,0,35,1,2,651,3,4,3,2,2,3,2,2,1,2,2,5,3,2,65,76.0,0
0,0,36,0,0,2569,4,5,5,5,2,3,3,4,4,4,4,2,4,1,0,0.0,0
0,0,44,1,1,461,2,4,2,4,4,4,3,5,5,2,5,2,5,2,0,0.0,0
0,0,39,0,0,2158,5,5,5,5,1,2,1,4,4,4,4,3,4,3,0,0.0,1
0,0,52,0,0,3021,2,4,4,4,1,4,4,2,2,2,2,3,2,2,1,13.0,0
0,0,27,1,1,1204,3,5,2,5,2,2,2,2,3,2,2,1,2,2,0,0.0,0
0,0,40,1,1,408,2,5,2,3,5,2,5,5,4,5,4,3,4,5,0,5.0,0
1,0,53,0,0,1704,1,1,1,1,4,4,5,4,4,4,4,4,4,4,12,8.0,1
0,0,50,0,0,247,2,2,2,2,4,5,4,5,5,5,5,4,5,5,0,0.0,1
0,0,16,1,1,646,3,5,3,3,5,3,4,5,4,1,1,3,5,5,0,0.0,0
0,0,32,0,0,1865,4,4,4,4,5,5,5,5,4,2,5,4,5,5,0,0.0,1
0,0,42,0,0,3576,4,4,4,4,1,3,1,4,4,4,4,5,4,1,0,2.0,1
0,0,53,0,0,395,3,3,3,3,3,4,5,5,5,5,5,5,5,5,0,0.0,1
0,0,49,0,0,1551,2,5,5,5,4,4,4,3,3,3,2,3,3,4,0,0.0,0
