Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,target
130,47,10,2,1,0,4819,0,0,0,18,9,144,1,-1,0,3,0
131,46,4,2,1,0,244,1,0,2,15,8,244,1,-1,0,3,0
132,33,1,1,1,0,686,1,1,1,14,8,30,6,343,12,1,0
133,40,5,1,2,0,794,0,0,2,9,8,138,1,-1,0,3,0
134,42,9,2,1,0,823,1,0,0,28,4,137,1,-1,0,3,0
135,30,1,1,1,0,0,1,1,0,10,5,1399,1,-1,0,3,1
136,43,7,1,1,0,192,1,1,2,30,8,273,2,-1,0,3,0
137,69,5,1,1,0,0,0,0,0,25,1,412,2,-1,0,3,1
138,38,0,1,1,0,1839,0,0,2,23,8,63,2,-1,0,3,0
139,71,5,1,1,0,5715,0,0,0,17,9,747,2,-1,0,3,1
140,25,0,2,1,0,184,0,1,1,11,5,437,7,-1,0,3,0
141,28,4,2,2,0,385,0,1,0,9,3,79,4,193,7,0,0
142,40,4,1,0,0,395,1,0,0,22,0,232,4,-1,0,3,1
143,40,7,2,1,0,19343,1,0,0,21,9,13,4,179,4,0,0
144,60,5,1,2,0,0,1,0,2,13,8,34,4,-1,0,3,0
145,36,0,2,1,0,1281,0,0,1,24,5,119,2,-1,0,3,0
146,40,0,0,1,0,221,1,0,2,13,8,154,2,-1,0,3,0
147,33,11,1,1,0,335,0,0,0,4,3,891,2,177,7,0,1
148,30,0,0,1,0,83,1,1,2,6,8,310,1,-1,0,3,0
149,47,9,1,1,0,0,0,0,2,11,9,74,1,-1,0,3,0
150,32,4,1,2,0,0,0,0,2,9,8,280,1,-1,0,3,0
151,45,4,1,0,0,4629,0,0,1,2,0,285,2,-1,0,3,0
152,45,0,1,1,0,3006,0,0,0,29,0,388,2,-1,0,3,1
153,45,7,1,1,0,27,1,1,0,31,5,43,2,-1,0,3,0
154,35,9,0,2,0,0,1,0,2,15,8,759,1,-1,0,3,0
155,27,4,2,2,0,-69,1,0,0,15,3,205,3,-1,0,3,1
156,52,9,1,1,0,1490,0,1,2,17,6,420,4,-1,0,3,0
157,44,2,1,2,0,624,0,0,1,14,1,552,2,-1,0,3,1
158,33,10,2,2,0,4874,0,0,1,22,3,363,2,-1,0,3,0
159,41,4,1,2,0,1092,0,0,0,5,1,736,1,-1,0,3,1
160,59,0,1,1,0,1575,1,0,0,22,1,1241,11,-1,0,3,1
161,79,5,1,1,0,2661,0,0,0,10,9,254,5,-1,0,3,1
162,37,0,1,1,0,1049,0,0,0,31,5,126,5,-1,0,3,0
163,32,9,0,1,0,-262,1,0,1,28,1,85,24,-1,0,3,0
164,33,9,1,1,0,346,1,1,0,24,5,379,1,-1,0,3,0
165,38,4,1,2,0,1276,0,0,0,17,8,272,2,182,3,2,1
166,59,5,1,0,0,3648,0,0,1,23,10,257,2,126,3,2,1
167,44,7,2,1,0,618,0,0,0,12,8,193,1,-1,0,3,1
168,31,7,2,1,0,2038,1,0,2,20,8,148,1,-1,0,3,0
169,36,1,1,1,0,136,1,0,2,4,6,38,2,-1,0,3,0
170,28,4,2,2,0,730,1,0,0,3,7,631,1,-1,0,3,1
171,23,8,2,2,0,0,0,0,0,10,1,213,1,-1,0,3,1
172,28,7,2,1,0,373,1,0,0,18,8,115,2,-1,0,3,0
173,50,6,1,1,0,5312,0,0,0,23,5,106,3,-1,0,3,0
174,54,1,0,0,0,215,1,0,2,4,6,71,5,-1,0,3,0
175,35,4,0,2,0,859,1,1,0,19,9,1554,1,-1,0,3,1
176,43,4,1,2,0,1379,1,0,2,27,8,383,3,-1,0,3,0
177,52,9,1,1,0,851,0,0,2,17,6,87,2,-1,0,3,0
178,32,4,2,2,0,0,0,0,0,22,1,360,2,-1,0,3,0
179,72,5,1,1,0,951,0,1,0,12,7,229,3,339,1,0,1
180,30,9,2,1,0,863,1,0,2,16,8,1193,5,-1,0,3,1
181,59,5,1,1,0,0,0,0,2,5,6,812,1,-1,0,3,1
182,34,2,1,2,0,146,1,0,0,14,5,788,2,-1,0,3,1
183,30,9,2,2,0,635,0,0,0,13,1,851,8,-1,0,3,1
184,29,10,2,2,0,1311,0,0,0,28,1,622,1,-1,0,3,1
185,22,8,2,1,0,552,0,0,0,1,11,327,1,-1,0,3,1
186,55,4,1,2,0,86,0,0,1,16,6,64,1,-1,0,3,0
187,35,4,1,2,0,0,1,0,0,11,3,391,2,92,5,2,1
188,59,5,1,2,0,9676,0,0,1,27,7,234,2,-1,0,3,1
189,30,4,2,2,0,1028,0,0,0,4,3,1294,2,-1,0,3,1
190,47,9,1,2,0,2408,0,0,0,30,0,376,1,-1,0,3,1
191,36,4,2,2,0,13,0,1,0,18,9,106,1,-1,0,3,0
192,51,1,1,1,0,4695,0,0,0,29,1,8,10,-1,0,3,0
193,34,10,2,1,0,1965,0,0,1,4,8,714,1,-1,0,3,1
194,38,1,1,0,0,4406,1,0,1,13,8,689,2,-1,0,3,1
195,31,1,1,1,0,1406,1,1,0,13,0,1091,2,-1,0,3,1
196,37,0,2,0,0,912,1,0,0,12,8,637,3,328,22,1,1
197,36,7,2,1,0,-253,1,0,0,14,0,1073,1,-1,0,3,1
198,24,0,2,1,0,1235,1,1,2,30,8,76,3,-1,0,3,0
199,53,0,1,1,0,109,0,0,1,2,6,270,1,-1,0,3,1
200,31,1,1,0,0,-454,1,1,2,28,8,861,2,-1,0,3,0
201,38,1,1,1,0,35,1,0,2,28,8,130,2,-1,0,3,0
202,80,5,0,0,0,235,0,0,0,31,7,577,1,223,3,1,1
203,46,0,0,1,0,1342,1,0,0,4,3,135,1,-1,0,3,0
204,27,4,2,2,1,0,1,0,2,19,8,352,1,-1,0,3,0
205,48,1,0,0,0,24,1,0,2,14,8,832,1,-1,0,3,1
206,25,1,2,1,0,-375,1,0,0,14,5,61,2,-1,0,3,0
207,35,1,1,2,0,5271,1,0,0,14,0,119,2,-1,0,3,0
208,41,4,1,2,0,1897,1,0,2,19,8,335,3,-1,0,3,0
209,58,4,0,2,0,1257,0,0,0,5,1,1536,1,-1,0,3,1
210,32,9,0,2,0,53,0,0,0,22,1,671,2,-1,0,3,1
211,31,1,2,0,0,2369,1,0,0,18,8,87,1,-1,0,3,0
212,57,4,0,2,0,3287,0,0,0,22,6,867,1,84,3,2,1
213,26,7,1,1,0,199,0,0,0,24,5,139,6,-1,0,3,0
214,59,5,0,0,0,-88,1,0,2,5,6,910,2,-1,0,3,1
215,31,3,2,2,0,596,0,0,1,28,4,30,1,-1,0,3,0
216,34,10,1,1,0,428,1,0,0,7,0,221,2,267,3,1,0
217,42,9,1,1,0,827,0,0,0,25,1,153,3,-1,0,3,0
218,29,9,1,1,0,95,0,1,0,3,3,172,3,-1,0,3,1
219,34,9,0,1,0,1451,1,0,2,30,8,1097,15,-1,0,3,1
220,33,7,1,1,0,703,0,0,0,18,9,160,2,-1,0,3,0
221,53,4,0,2,0,2679,0,0,0,20,9,295,3,-1,0,3,1
222,54,10,0,1,0,1664,0,0,0,2,6,257,3,-1,0,3,1
223,53,4,1,2,0,5261,0,1,0,25,5,1209,3,-1,0,3,0
224,26,4,2,2,0,362,0,0,0,15,11,925,1,104,2,2,1
225,28,0,0,1,0,451,1,0,0,13,8,302,1,301,1,2,1
226,34,9,1,2,0,197,0,0,0,20,1,78,3,-1,0,3,1
227,39,4,2,2,0,2258,1,0,0,31,5,255,2,-1,0,3,0
228,37,1,1,0,0,178,1,1,2,9,6,72,1,-1,0,3,0
229,47,1,1,1,0,125,0,0,0,8,5,210,2,-1,0,3,0
230,34,7,1,1,0,-16,1,1,2,5,8,78,1,-1,0,3,0
231,32,0,1,1,0,337,0,0,0,15,8,51,3,368,1,0,0
232,74,5,0,0,0,166,0,0,0,13,1,99,1,-1,0,3,0
233,56,7,1,1,0,9,0,1,0,20,1,285,2,-1,0,3,0
234,47,9,1,2,0,1694,0,1,2,20,6,560,3,-1,0,3,1
235,43,1,1,0,0,3917,0,0,0,3,6,725,2,93,1,2,1
236,52,9,1,1,0,5303,1,0,2,19,10,133,1,-1,0,3,1
237,40,1,0,1,0,0,1,0,2,6,8,121,2,-1,0,3,0
238,32,9,2,2,0,390,1,0,2,23,8,85,1,-1,0,3,0
239,36,4,1,2,0,4069,0,0,0,21,9,517,1,-1,0,3,1
240,57,0,1,0,0,215,1,1,0,17,5,210,2,-1,0,3,0
241,54,4,1,1,1,5249,1,0,0,17,9,108,1,-1,0,3,0
242,39,1,2,1,0,649,1,0,0,15,0,668,1,-1,0,3,1
243,58,0,1,1,0,826,0,0,2,12,6,885,1,-1,0,3,1
244,43,7,1,1,0,2478,1,0,0,28,4,347,1,230,1,0,0
245,29,10,2,2,0,497,1,0,0,18,8,642,3,298,6,2,1
246,42,4,1,2,0,0,0,0,0,6,1,81,3,-1,0,3,0
247,52,9,1,1,0,22755,1,0,2,29,8,70,2,-1,0,3,0
248,84,5,1,1,0,81204,0,0,1,28,2,679,1,313,2,1,1
249,34,9,2,1,0,161,0,1,0,8,1,61,2,-1,0,3,0
250,25,8,2,1,0,3090,0,0,0,21,1,139,1,-1,0,3,0
251,29,3,2,2,0,19,0,0,0,5,3,110,2,64,2,2,1
252,46,6,1,2,0,2421,0,0,0,19,9,1084,1,100,4,0,1
253,39,2,1,1,0,11887,0,0,0,18,9,1181,2,-1,0,3,1
254,40,1,1,1,0,1023,1,0,0,13,8,64,5,336,11,1,0
255,47,6,1,2,0,192,0,0,1,30,5,120,6,-1,0,3,0
256,42,10,1,3,0,190,0,0,0,11,1,704,2,-1,0,3,1
257,50,0,1,1,0,715,0,0,0,28,1,131,13,-1,0,3,0
258,27,0,2,1,0,276,1,0,2,19,8,311,2,-1,0,3,0
259,25,7,2,1,0,505,0,0,0,15,6,284,1,-1,0,3,1
260,72,5,1,2,0,2,0,0,0,7,1,147,2,-1,0,3,1
261,34,0,2,1,0,1352,1,0,0,20,0,126,1,334,3,1,0
262,52,1,1,1,0,1319,0,0,1,30,0,37,2,-1,0,3,0
263,36,4,0,2,0,81,0,1,0,22,5,560,1,-1,0,3,1
264,43,9,2,1,0,1462,0,0,2,9,6,75,2,-1,0,3,0
265,34,0,1,2,0,0,0,0,0,30,5,292,1,183,2,2,1
266,47,1,1,1,0,2775,0,0,2,14,8,262,1,-1,0,3,0
267,20,8,2,1,0,502,0,0,0,30,0,261,1,-1,0,3,1
268,40,9,1,1,0,40,1,0,0,21,9,73,1,-1,0,3,0
269,45,7,1,0,0,7811,0,0,2,16,6,143,2,-1,0,3,0
270,39,0,0,1,0,32,0,1,2,20,6,8,10,-1,0,3,0
271,56,6,1,2,0,411,0,0,2,19,6,145,4,-1,0,3,0
272,56,0,1,1,0,510,1,0,0,10,5,288,1,-1,0,3,0
273,32,0,2,2,0,8866,0,0,0,9,6,234,2,83,2,2,1
274,38,4,1,0,0,1365,1,0,2,5,6,224,1,-1,0,3,0
275,36,4,2,2,0,2163,0,0,0,5,6,317,1,-1,0,3,0
276,33,0,0,1,0,294,1,0,0,8,8,763,1,-1,0,3,1
277,52,0,0,3,0,0,0,0,0,26,1,168,4,-1,0,3,0
278,30,0,2,1,0,613,1,0,0,17,0,180,2,302,1,0,0
279,39,1,1,0,0,2303,1,0,2,17,6,775,3,-1,0,3,1
280,32,1,1,0,0,1518,1,0,1,6,3,35,3,-1,0,3,0
281,32,4,2,2,0,1742,0,0,2,5,6,231,2,-1,0,3,0
282,42,1,0,0,0,301,1,0,0,17,5,1175,2,-1,0,3,1
283,40,1,1,0,0,13,1,0,2,4,5,178,1,-1,0,3,0
284,77,5,1,2,0,699,0,0,0,13,1,425,2,-1,0,3,1
285,31,1,0,1,0,0,1,1,0,18,5,913,4,-1,0,3,1
286,33,2,0,2,0,37,0,1,0,8,5,1082,1,-1,0,3,1
287,56,9,1,1,0,0,1,1,0,29,0,152,1,223,3,1,0
288,56,5,1,0,0,1947,0,0,0,2,7,225,2,123,5,0,1
289,44,1,1,1,0,2885,1,0,2,30,8,63,3,-1,0,3,0
290,57,3,1,0,0,1969,0,0,0,14,1,286,3,-1,0,3,0
291,49,1,1,1,0,298,1,0,0,3,3,392,3,-1,0,3,0
292,31,9,1,1,0,-360,1,0,2,27,8,93,2,-1,0,3,0
293,29,0,0,1,0,1320,1,1,2,8,8,489,1,-1,0,3,0
294,56,9,0,1,0,146,1,0,0,5,1,419,3,-1,0,3,1
295,47,7,1,1,0,311,1,1,0,12,8,238,1,301,3,0,0
296,47,0,1,1,0,298,1,0,0,11,8,183,1,-1,0,3,0
297,40,1,1,0,0,7831,1,0,2,14,8,78,1,-1,0,3,0
298,35,4,2,2,0,1396,1,0,0,13,8,809,1,300,1,0,1
299,44,9,2,1,0,54,0,1,0,19,1,199,2,-1,0,3,0
300,49,9,1,1,0,1091,0,0,1,30,5,47,2,-1,0,3,0
301,29,0,1,1,0,6429,1,1,0,14,8,535,1,352,2,0,0
302,41,7,1,1,0,1319,1,0,0,11,8,305,1,-1,0,3,0
303,38,1,1,0,0,132,1,0,0,14,8,797,2,-1,0,3,0
304,49,4,1,1,0,104,1,0,2,8,8,285,1,-1,0,3,0
305,29,7,0,1,0,84,1,0,0,13,0,1101,2,-1,0,3,1
306,36,4,1,2,0,0,1,0,2,27,8,145,2,-1,0,3,0
307,36,7,1,2,0,0,1,0,0,8,8,52,1,-1,0,3,0
308,39,0,0,1,0,728,1,1,0,18,10,222,1,-1,0,3,1
309,43,0,2,1,0,1707,1,0,0,6,11,369,3,504,5,1,1
310,39,0,2,2,0,22086,0,0,0,4,6,160,1,-1,0,3,1
311,35,1,1,1,0,625,0,0,0,13,8,267,1,-1,0,3,0
312,39,0,1,2,0,259,1,0,2,19,8,27,1,-1,0,3,0
313,32,1,2,0,0,180,1,0,0,13,8,804,1,-1,0,3,0
314,44,9,2,1,0,7138,0,0,0,8,1,809,2,-1,0,3,1
315,28,4,2,2,0,203,0,0,0,29,4,145,2,-1,0,3,0
316,36,7,1,1,0,472,1,0,2,19,6,1017,1,-1,0,3,0
317,43,7,1,1,0,1220,0,0,0,28,5,307,2,-1,0,3,0
318,52,10,1,1,0,94,0,0,0,10,9,293,3,190,10,0,1
319,77,5,1,2,0,1047,0,0,0,30,6,108,5,-1,0,3,0
320,32,8,2,3,0,4110,0,0,0,6,3,119,8,-1,0,3,0
321,54,10,2,1,0,3611,1,0,0,5,3,81,1,-1,0,3,0
322,54,4,1,2,0,154,0,0,2,9,8,155,3,-1,0,3,0
323,44,0,1,3,0,40,0,1,2,6,8,160,2,-1,0,3,0
324,35,9,2,2,0,5301,0,0,0,21,9,937,2,-1,0,3,1
325,28,0,2,1,0,19,0,0,0,8,5,78,4,-1,0,3,0
326,82,3,0,0,0,1381,0,0,0,28,4,86,3,93,1,0,0
327,21,8,2,1,0,215,0,0,0,24,8,382,1,89,7,2,1
328,25,0,2,1,0,131,1,1,2,9,8,237,1,-1,0,3,0
329,42,2,1,3,0,206,1,0,0,30,5,695,2,-1,0,3,1
330,57,1,1,3,0,807,1,0,2,6,8,211,2,-1,0,3,0
331,54,3,1,0,0,212,0,0,0,12,1,81,4,-1,0,3,0
332,23,8,2,3,0,854,1,0,2,28,8,664,2,-1,0,3,1
333,43,1,1,1,0,2160,0,0,0,2,6,169,1,-1,0,3,1
334,26,9,2,1,0,507,0,0,0,30,0,380,1,-1,0,3,1
335,30,4,2,2,0,640,0,0,0,6,3,124,4,213,2,0,0
336,52,1,1,0,0,117,0,1,0,24,5,164,2,-1,0,3,0
337,40,1,1,0,0,236,1,0,2,20,8,167,2,-1,0,3,0
338,75,5,0,2,0,3810,1,0,0,16,9,262,1,183,1,0,1
339,34,7,1,1,0,1337,0,0,0,17,2,330,2,127,3,2,1
340,47,9,1,1,0,293,0,0,0,1,6,251,1,90,1,2,1
341,80,5,1,1,0,668,0,0,1,8,5,250,1,371,1,2,1
342,54,9,1,1,0,10185,0,0,0,10,1,559,1,70,2,1,1
343,33,4,0,2,0,990,1,0,0,24,5,1491,2,-1,0,3,1
344,57,9,0,1,0,3043,0,0,0,14,1,707,2,-1,0,3,1
345,32,4,2,2,0,1781,0,0,0,8,0,321,1,-1,0,3,1
346,34,1,1,0,0,1031,1,0,2,29,8,751,3,-1,0,3,1
347,66,5,0,3,0,53,0,0,0,12,5,562,4,-1,0,3,1
348,44,4,1,2,0,0,0,0,2,13,8,27,1,-1,0,3,0
349,54,4,1,3,0,24,0,0,0,31,5,12,10,-1,0,3,0
350,27,7,1,1,0,0,1,0,0,17,5,991,5,-1,0,3,1
351,34,4,1,1,0,-311,1,0,2,27,8,305,2,-1,0,3,0
352,33,9,1,1,0,218,1,1,1,2,7,169,4,-1,0,3,0
353,56,1,1,0,0,1137,0,0,1,2,5,176,1,-1,0,3,1
354,32,1,1,1,1,-53,1,0,0,16,0,648,1,272,1,1,1
355,58,4,1,1,0,407,1,0,0,29,5,145,2,-1,0,3,0
356,36,9,1,1,0,-393,0,0,1,14,1,119,4,-1,0,3,0
357,26,4,0,2,0,667,0,0,1,19,6,177,2,-1,0,3,0
358,49,9,2,1,0,1377,0,0,0,5,1,935,1,-1,0,3,1
359,30,1,1,1,0,486,1,0,2,29,8,1109,3,-1,0,3,1
360,30,4,2,2,0,265,0,0,0,25,9,295,1,93,3,2,0
361,25,0,2,1,0,483,0,1,0,30,0,68,1,86,1,2,0
362,35,4,2,2,0,2646,0,0,0,14,0,133,8,183,2,2,1
363,34,9,2,1,1,103,1,1,0,24,5,147,1,-1,0,3,0
364,37,0,2,1,0,-261,0,1,0,10,5,259,1,-1,0,3,0
365,67,5,1,1,0,1443,0,0,0,8,0,245,1,-1,0,3,1
366,40,0,0,1,0,2129,0,0,0,30,0,452,1,-1,0,3,1
367,37,7,2,0,0,0,0,1,0,6,3,155,6,245,5,1,0
368,32,6,2,2,0,658,1,0,0,27,7,283,1,-1,0,3,1
369,28,6,2,2,0,5215,0,0,0,2,6,673,1,-1,0,3,0
370,30,4,2,2,0,2,0,0,0,27,1,19,21,-1,0,3,0
371,57,9,1,2,0,1181,0,0,0,29,5,169,2,182,2,2,1
