39, State-gov,77516, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,target
62,1,33365,11,9,6,7,1,4,0,0,0,40,1,0
38,0,122493,9,13,2,9,0,4,1,4064,0,40,38,0
54,2,96710,11,9,2,8,2,2,0,0,0,20,38,0
19,5,165289,15,10,4,7,3,4,0,0,0,40,38,0
35,2,25803,11,9,2,2,0,4,1,0,0,40,38,0
40,0,77332,15,10,0,0,1,4,0,0,0,50,38,0
31,2,55849,15,10,2,2,0,4,1,0,0,45,38,0
32,2,42617,15,10,0,9,1,4,0,0,0,30,38,0
47,2,161950,11,9,0,7,4,4,0,0,0,32,38,0
25,2,130302,11,9,2,6,0,4,1,0,0,40,38,0
29,2,258862,9,13,4,2,1,4,0,0,0,45,38,0
20,2,146538,11,9,2,6,0,4,1,0,0,40,38,0
27,2,216481,15,10,6,0,4,4,0,0,0,40,38,0
59,1,53304,9,13,2,9,0,4,1,0,0,50,38,1
31,2,142038,11,9,2,2,5,4,0,0,0,45,38,0
31,2,263561,12,14,2,3,0,4,1,0,0,40,38,1
63,2,183608,0,6,2,3,0,4,1,0,0,40,38,0
52,2,153751,6,5,5,7,1,2,0,0,0,30,38,0
26,2,330695,15,10,2,6,0,4,1,0,0,40,38,0
20,2,334633,11,9,0,0,1,4,0,0,0,40,38,0
25,2,252752,15,10,4,13,1,4,0,0,0,45,38,0
21,2,118023,11,9,4,4,3,4,1,0,0,24,38,0
47,5,156417,15,10,0,9,4,4,1,0,0,20,38,0
27,2,44767,11,9,2,4,0,4,1,0,0,40,38,0
41,2,202508,11,9,2,6,0,4,1,0,0,48,38,0
31,2,47151,11,9,4,7,1,4,0,0,0,56,38,0
35,2,202027,9,13,0,3,1,4,1,27828,0,50,38,1
36,2,186376,15,10,2,6,0,1,1,0,0,50,38,1
27,2,108431,15,10,4,2,1,2,1,0,0,40,38,0
52,2,298215,9,13,2,2,0,4,1,0,0,50,38,1
58,2,200040,11,9,2,2,0,4,1,0,0,40,38,0
28,2,224629,12,14,4,3,1,3,1,0,0,30,4,0
43,0,347720,9,13,4,12,1,4,1,0,0,50,38,0
47,2,167787,11,9,4,0,2,4,0,0,0,40,38,0
42,1,29075,7,12,2,9,5,0,0,0,0,40,38,0
24,2,180060,7,12,4,2,1,4,1,2354,0,40,38,0
36,3,183898,9,13,0,11,1,4,1,0,0,60,38,0
23,2,183327,11,9,4,2,3,2,0,0,1594,20,38,0
35,2,289106,7,12,5,11,4,4,1,0,0,40,38,0
44,4,115896,8,11,6,9,4,4,0,0,0,40,38,0
40,4,243636,9,13,2,11,0,4,1,0,0,50,38,1
18,2,577521,1,7,4,11,3,4,1,0,0,13,38,0
45,2,98881,1,7,2,7,5,4,0,0,0,32,38,0
28,5,381789,15,10,5,3,3,4,1,0,2339,40,38,0
25,2,190107,9,13,4,2,3,4,1,0,0,40,38,0
28,2,22422,11,9,4,13,4,4,1,0,0,55,38,0
38,1,236687,15,10,4,9,3,4,1,0,0,40,38,0
20,2,238685,15,10,4,7,1,4,0,0,0,32,38,0
36,2,144154,11,9,0,3,1,4,0,0,0,40,38,0
28,2,189346,11,9,0,2,1,4,1,0,0,45,38,0
24,2,198148,15,10,4,7,3,4,1,0,0,30,38,0
29,2,170301,11,9,2,0,5,4,0,2829,0,40,38,0
40,4,155106,6,5,2,2,0,4,1,0,0,40,38,1
31,2,128591,6,5,0,13,1,4,1,0,0,40,38,0
30,2,30063,11,9,0,7,4,4,0,0,0,32,38,0
51,1,136823,11,9,2,3,5,4,0,0,0,32,38,0
24,2,259865,11,9,4,0,1,4,0,0,0,30,38,0
64,3,307786,3,2,2,11,0,4,1,0,0,20,38,0
41,5,36999,12,14,2,9,0,4,1,0,0,75,38,1
48,2,237525,9,13,2,3,0,4,1,7688,0,65,38,1
18,2,230875,1,7,4,0,1,4,1,0,0,40,38,0
18,1,152171,1,7,4,10,3,4,1,0,0,10,38,0
51,2,138251,11,9,2,13,0,4,1,0,0,60,38,0
20,2,108887,11,9,4,6,3,4,0,0,0,40,38,0
43,4,75435,11,9,0,2,4,0,1,0,0,30,38,0
32,2,90705,11,9,2,13,0,4,1,0,0,60,38,1
47,2,151584,14,15,2,3,0,4,1,7688,0,60,38,1
37,2,236990,15,10,2,6,0,4,1,3464,0,40,38,0
39,1,357173,7,12,0,9,1,4,1,0,0,59,38,0
57,2,84888,11,9,2,13,0,4,1,0,0,50,38,0
39,2,120130,15,10,5,6,3,4,1,0,0,40,38,0
49,1,219021,15,10,0,3,4,4,1,0,0,48,38,1
46,2,154940,15,10,0,11,4,4,0,0,0,40,38,0
60,5,190682,8,11,6,7,1,2,0,0,0,37,38,0
31,5,63704,9,13,4,9,1,4,0,0,0,40,38,0
25,2,159732,15,10,4,0,1,4,1,0,0,42,38,0
45,2,32896,4,3,4,6,3,4,0,0,0,35,38,0
27,2,55390,15,10,4,4,3,4,1,0,0,45,38,0
37,2,109133,11,9,2,6,0,4,1,0,0,40,31,0
49,2,281647,9,13,2,11,0,4,1,0,0,45,38,1
56,2,286487,11,9,2,2,0,4,1,2885,0,45,38,0
17,2,242718,1,7,4,11,3,4,1,0,0,12,38,0
59,2,193895,15,10,6,0,1,4,0,0,0,35,38,0
42,2,37937,9,13,2,3,0,4,1,0,0,55,38,1
38,2,31964,6,5,2,0,0,4,1,0,0,40,38,0
19,2,246226,11,9,4,2,1,4,0,0,0,40,38,0
21,2,197918,11,9,4,13,3,4,1,0,0,40,38,0
35,2,285020,11,9,4,2,1,4,1,0,0,40,38,0
24,2,329408,1,7,4,5,1,4,1,0,0,40,38,0
44,2,162643,11,9,4,0,1,4,0,0,0,43,38,0
51,2,48343,12,14,2,3,0,4,1,7298,0,50,38,1
27,4,300777,11,9,0,13,1,4,1,0,0,70,38,0
34,2,509364,11,9,0,6,1,4,1,0,0,30,38,0
28,2,99478,11,9,2,0,0,2,1,0,0,40,38,0
59,2,515712,5,4,2,2,0,4,1,0,0,40,38,0
37,2,301568,2,8,4,7,3,4,0,0,0,40,38,0
22,2,89991,15,10,4,7,3,4,0,0,0,11,38,0
18,2,164441,15,10,4,0,3,4,0,0,0,38,38,0
39,2,108140,8,11,2,2,0,4,1,0,0,40,38,0
26,2,101812,11,9,4,6,4,4,1,5721,0,40,38,0
64,2,218490,9,13,0,3,1,4,1,27828,0,55,38,1
45,2,110171,11,9,4,5,1,4,1,0,0,40,38,0
59,2,109638,11,9,2,2,0,4,1,0,0,40,38,1
37,3,51264,8,11,2,11,0,4,1,0,0,40,38,1
30,2,101283,15,10,4,7,1,4,0,0,0,40,38,0
27,5,315640,12,14,4,9,1,1,1,0,0,20,2,0
59,4,96459,5,4,2,2,0,4,1,0,0,40,38,0
54,2,117674,12,14,2,9,0,4,1,0,0,40,38,1
21,2,136873,15,10,4,9,3,4,1,0,0,10,38,0
50,2,177705,9,13,0,7,1,4,1,0,0,40,38,0
41,2,113597,15,10,2,4,0,4,1,0,0,16,38,0
36,4,188972,10,16,5,9,4,4,0,0,0,10,1,0
18,2,120544,6,5,4,7,3,2,1,0,0,15,38,0
29,2,131714,0,6,0,6,1,2,0,0,0,25,38,0
41,1,343079,9,13,2,9,5,4,0,0,1740,20,38,0
52,2,225317,4,3,2,2,0,4,1,0,0,40,25,0
34,2,90705,15,10,2,12,0,4,1,0,1485,40,38,0
27,1,206125,0,6,2,2,0,4,1,0,0,60,38,0
20,2,249543,15,10,4,10,3,4,0,0,0,16,38,0
22,1,134181,11,9,4,5,2,4,1,0,0,50,38,0
32,2,134737,9,13,2,9,0,4,1,99999,0,50,38,1
27,2,386036,15,10,4,13,1,4,1,0,0,48,38,0
46,2,132912,11,9,2,11,0,4,1,0,0,45,38,1
52,2,117674,11,9,2,3,0,4,1,0,0,55,38,1
28,2,398220,4,3,4,2,2,4,1,0,0,40,25,0
31,2,115488,11,9,2,4,0,4,1,0,0,40,38,0
42,2,339346,12,14,0,0,1,4,0,0,0,25,38,0
56,2,159724,15,10,2,13,0,4,1,0,0,40,38,1
20,2,238384,11,9,4,11,1,4,0,0,0,30,38,0
38,2,103456,9,13,5,9,4,4,1,0,0,40,38,0
24,2,308205,5,4,4,5,2,4,1,0,0,40,25,0
21,2,202373,15,10,2,5,0,2,1,0,0,40,38,0
43,2,347653,15,10,2,9,0,4,1,0,0,48,38,1
40,0,112388,12,14,4,9,1,4,1,0,0,40,38,0
30,2,237903,15,10,4,5,4,4,0,0,0,40,38,0
23,2,314894,11,9,4,3,3,4,0,0,0,45,38,0
28,2,189186,8,11,4,11,1,4,1,0,0,40,38,0
37,2,105813,8,11,2,0,0,4,1,7298,0,40,38,1
37,1,257588,11,9,0,0,4,4,0,0,0,40,38,0
36,2,90159,9,13,2,9,5,4,0,0,0,32,38,1
37,2,70562,3,2,4,7,4,4,0,0,0,48,7,0
28,2,183175,15,10,0,0,1,4,0,0,0,40,38,0
50,3,158294,14,15,2,9,0,4,1,99999,0,80,38,1
48,1,31264,15,10,2,3,5,4,0,5178,0,40,38,1
47,2,230136,11,9,2,7,0,2,1,0,0,60,38,1
24,2,64167,8,11,4,12,4,2,0,0,0,40,38,0
42,2,356934,12,14,2,3,0,4,1,0,0,40,38,1
50,2,341797,11,9,0,2,1,4,1,0,0,40,38,0
50,2,193374,3,2,3,2,4,4,1,0,0,40,38,0
39,2,207185,15,10,2,3,5,4,0,0,0,35,32,1
23,2,352139,15,10,4,7,1,4,0,0,0,24,38,0
36,2,180150,2,8,0,5,1,4,1,0,0,40,38,0
45,2,112761,11,9,0,6,4,4,0,0,0,40,38,0
60,2,148522,15,10,2,2,0,0,1,0,0,40,38,0
55,2,750972,5,4,2,2,0,4,1,0,0,41,38,0
22,2,275385,15,10,4,7,2,4,1,0,0,25,38,0
50,2,50178,11,9,2,12,0,4,1,0,0,40,38,1
32,2,226267,4,3,3,2,2,4,1,0,0,40,7,0
27,2,105817,9,13,4,2,1,4,1,0,0,45,38,0
36,2,370767,11,9,2,9,0,4,1,0,2377,60,38,0
62,2,113080,5,4,0,2,3,4,1,0,0,40,38,0
52,2,208302,11,9,2,11,0,4,1,0,0,36,38,0
39,1,316582,12,14,4,9,1,4,0,0,0,55,38,0
62,2,319582,11,9,6,11,1,4,0,0,0,32,38,0
68,4,195881,11,9,2,4,0,4,1,2414,0,40,38,0
27,2,38599,2,8,4,13,1,4,1,0,0,40,38,0
57,4,95280,15,10,2,11,0,4,1,99999,0,45,38,1
41,2,126850,14,15,2,0,0,1,1,0,0,40,29,0
25,2,198163,11,9,4,3,3,4,0,0,0,40,38,0
31,2,32406,15,10,0,2,4,4,0,0,0,20,38,0
46,2,263568,11,9,2,6,0,4,1,0,0,40,38,0
34,2,140571,8,11,0,12,4,2,0,0,0,40,38,0
44,4,124692,11,9,2,9,0,4,1,0,1902,40,38,1
23,2,343019,0,6,4,7,1,4,0,0,0,40,38,0
42,2,529216,11,9,5,13,2,2,1,0,0,40,38,0
39,2,165743,15,10,2,2,0,4,1,0,0,45,38,1
36,2,189382,11,9,2,0,5,4,0,0,0,40,38,1
58,2,94345,11,9,2,11,0,4,1,0,0,40,38,0
55,2,191367,11,9,2,11,0,4,1,0,0,40,38,0
25,2,144478,15,10,4,7,3,4,1,0,0,40,30,0
58,2,201112,15,10,0,0,1,2,0,0,0,55,38,1
34,4,312197,11,9,2,13,0,4,1,0,0,75,25,1
59,4,116878,11,9,2,3,0,4,1,0,0,60,11,0
23,2,107452,15,10,2,13,0,4,1,0,0,40,38,0
48,5,122086,11,9,2,10,0,4,1,0,0,40,38,0
25,2,321205,9,13,4,3,1,4,1,4101,0,35,38,0
63,2,71800,5,4,6,7,1,4,0,0,0,41,38,0
26,2,151810,0,6,4,4,1,2,1,0,0,40,38,0
36,1,28996,11,9,2,13,0,4,1,0,0,40,38,0
47,2,248059,15,10,2,7,0,4,1,0,0,47,38,1
28,2,148645,11,9,4,6,3,4,0,0,0,40,38,0
35,2,105821,11,9,2,3,0,4,1,5178,0,40,38,1
90,2,90523,11,9,6,13,4,4,1,0,0,99,38,0
50,4,114117,11,9,2,3,0,4,1,0,0,32,38,0
20,2,113511,1,7,4,13,3,4,1,0,0,40,38,0
26,2,118497,11,9,2,2,0,4,1,0,0,60,38,0
18,2,122775,11,9,4,7,3,4,1,0,0,35,38,0
38,2,143538,11,9,4,6,1,4,0,0,0,40,38,0
32,2,101562,9,13,4,9,1,4,0,0,0,45,38,0
33,2,168981,12,14,0,3,3,4,0,14084,0,50,38,1
45,1,148222,11,9,4,0,1,2,0,0,0,40,38,0
34,2,97355,15,10,0,11,1,4,0,0,0,60,38,0
20,2,236804,11,9,4,0,1,4,1,0,0,40,38,0
28,2,113987,11,9,2,6,5,4,0,0,0,40,38,0
40,2,116632,9,13,0,11,3,4,1,0,0,80,38,0
45,2,96100,5,4,2,6,0,2,1,0,0,40,38,0
37,1,128054,15,10,0,0,4,4,0,0,0,40,38,0
34,2,176185,9,13,4,3,1,4,1,0,1741,40,38,0
57,1,148509,9,13,2,9,0,1,1,0,0,35,18,0
43,5,242521,11,9,2,2,0,4,1,0,0,40,38,0
57,3,103948,9,13,0,9,1,4,1,0,0,80,38,0
20,2,86143,15,10,4,7,2,1,1,0,0,30,38,0
36,2,89718,11,9,2,11,0,4,1,0,0,40,38,0
57,3,101338,9,13,2,3,0,4,1,0,0,20,38,0
19,2,427862,15,10,4,7,3,4,1,0,0,35,38,0
55,2,190508,15,10,2,13,0,2,1,0,0,35,38,0
33,2,226629,15,10,2,7,5,4,0,0,0,35,38,0
44,2,157614,11,9,0,11,3,4,1,0,0,38,38,0
41,2,185132,9,13,4,9,1,4,0,0,0,45,38,0
19,2,343200,15,10,4,11,3,4,0,0,0,25,38,0
22,6,302347,11,9,4,5,3,4,1,4416,0,40,38,0
34,3,157466,11,9,2,0,0,4,1,0,0,45,38,0
53,0,167410,9,13,0,12,1,0,1,0,0,40,38,0
34,2,100669,9,13,2,13,0,1,1,0,0,40,38,1
19,2,216937,11,9,4,5,2,3,0,0,0,60,12,0
22,2,100587,15,10,4,7,3,2,0,0,0,15,38,0
55,2,320835,9,13,2,11,0,4,1,0,0,50,38,1
46,1,146497,11,9,0,9,1,4,0,0,0,40,38,0
49,2,259323,11,9,0,2,4,4,1,0,0,40,38,0
23,2,325596,15,10,4,6,1,4,1,0,0,40,38,0
34,2,34572,11,9,4,5,1,4,1,0,0,60,38,0
26,4,231714,11,9,2,2,0,4,1,0,0,40,38,0
45,2,178215,6,5,2,6,5,4,0,0,0,40,38,1
21,5,96483,15,10,4,0,3,1,0,0,0,12,38,0
33,2,272411,9,13,4,3,1,4,0,0,0,40,38,0
33,2,162930,9,13,2,9,0,4,1,0,0,50,21,0
48,3,51579,9,13,2,3,0,4,1,0,0,60,38,1
34,4,319165,10,16,2,9,0,4,1,0,0,50,38,1
30,2,373213,8,11,0,11,1,4,0,0,0,40,38,1
25,2,122756,1,7,5,6,1,2,1,0,0,35,38,0
60,2,132529,11,9,2,7,0,4,1,0,0,40,38,0
27,1,74056,9,13,4,12,1,4,1,0,0,50,38,0
37,3,126675,9,13,4,3,3,4,1,0,0,40,38,0
54,0,230387,11,9,6,0,4,4,0,0,0,35,38,0
43,4,52498,9,13,4,9,4,4,0,0,0,50,38,0
46,4,43348,14,15,2,3,0,4,1,15024,0,55,38,1
27,4,151402,11,9,2,4,0,4,1,0,1573,70,38,0
33,2,197424,11,9,2,3,0,4,1,5013,0,40,38,0
45,1,148254,12,14,0,9,1,4,0,0,0,35,38,0
27,2,391468,1,7,0,2,3,4,1,0,0,40,38,0
40,2,142886,9,13,6,3,4,4,0,0,0,40,38,0
26,2,463194,11,9,2,2,0,4,1,0,0,40,38,0
31,2,185814,11,9,4,13,4,2,0,0,0,30,38,0
36,1,52532,10,16,2,9,0,4,1,0,1887,50,38,1
22,2,222993,11,9,4,9,3,4,1,0,0,54,38,0
35,2,290226,11,9,4,3,1,4,1,0,0,45,38,0
72,0,217864,11,9,2,0,0,4,1,0,0,40,38,1
70,3,207938,9,13,2,3,0,4,1,0,2377,50,38,1
32,2,211349,0,6,2,13,0,4,1,0,0,40,38,0
27,2,263614,7,12,2,2,0,4,1,0,0,45,38,1
22,2,138768,11,9,4,0,3,4,1,0,0,40,38,0
49,1,110172,11,9,2,13,0,4,1,0,0,40,38,0
44,2,164678,12,14,2,9,5,4,0,0,0,45,38,0
81,2,114670,6,5,6,8,1,2,0,2062,0,5,38,0
34,2,213226,9,13,2,9,0,4,1,0,0,40,19,1
60,2,146674,0,6,2,5,0,2,1,0,0,40,38,0
34,2,203463,15,10,0,11,1,4,0,0,0,40,38,0
17,2,156736,0,6,4,11,4,4,0,0,0,12,38,0
41,2,121130,11,9,4,0,1,4,0,0,0,40,38,0
23,2,137994,15,10,4,6,3,2,0,0,0,40,38,0
39,2,138192,9,13,2,2,0,4,1,0,0,40,38,1
29,2,77572,7,12,4,0,1,1,0,0,0,40,38,0
65,2,176796,10,16,6,9,1,4,0,0,0,40,38,0
26,2,276624,15,10,2,10,0,4,1,0,0,40,38,0
25,2,231357,11,9,4,0,1,4,0,0,0,40,38,0
49,2,59612,15,10,2,11,0,4,1,0,0,44,38,0
24,2,493034,9,13,4,9,1,2,1,0,0,40,38,0
41,1,137142,15,10,2,11,0,4,1,0,0,40,38,0
28,1,250135,12,14,2,9,5,4,0,0,1902,55,38,0
18,2,214617,15,10,4,5,3,4,1,0,0,30,38,0
30,2,122889,12,14,2,9,0,1,1,0,0,50,18,1
41,2,126622,1,7,0,5,4,4,0,0,0,40,38,0
41,2,351161,11,9,2,11,0,4,1,0,1848,45,38,1
24,2,233777,15,10,4,11,4,4,1,0,0,50,25,0
65,3,115922,9,13,2,3,0,4,1,0,0,40,38,1
20,2,277700,13,1,4,7,3,4,1,0,0,32,38,0
39,2,257942,9,13,2,11,0,4,1,0,0,60,38,1
35,5,483530,15,10,0,12,4,4,0,0,0,40,38,0
30,2,48829,11,9,4,11,1,4,0,0,1602,30,38,0
21,2,40767,15,10,4,5,1,4,1,0,0,40,38,0
28,4,254989,1,7,4,11,3,4,1,0,0,40,38,0
23,2,203078,9,13,4,0,3,2,1,0,0,24,38,0
46,5,72506,11,9,2,7,5,2,0,0,0,40,38,0
31,5,1033222,15,10,2,6,0,4,1,0,0,40,38,0
25,2,55718,15,10,4,12,3,4,1,0,0,25,38,0
51,2,84278,9,13,2,9,0,4,1,0,0,55,38,1
27,2,302406,12,14,2,9,0,4,1,0,0,55,38,0
26,2,188767,9,13,4,11,3,4,1,0,0,40,38,0
19,2,258470,11,9,4,5,1,4,1,0,0,40,38,0
28,2,183639,11,9,4,5,4,4,1,0,0,40,38,0
45,2,287190,7,12,0,0,4,2,1,0,0,35,38,0
41,2,325786,11,9,2,6,0,4,1,0,0,40,38,0
65,5,326691,15,10,2,6,0,2,1,0,0,40,38,1
18,2,215110,11,9,4,5,3,2,1,0,0,40,38,0
38,2,195686,15,10,2,2,0,4,1,0,0,40,38,1
19,2,28790,15,10,4,7,1,4,0,0,0,40,38,0
35,2,222989,11,9,2,13,0,4,1,0,0,30,38,0
36,2,275653,5,4,3,6,4,4,0,2977,0,40,32,0
56,2,295067,9,13,4,3,1,4,1,14084,0,45,38,1
25,2,135603,11,9,2,13,0,4,1,0,0,40,38,1
51,2,252903,0,6,2,11,0,4,1,0,1977,40,38,1
39,1,423605,2,8,2,13,0,4,1,0,1848,40,26,1
63,4,26904,11,9,2,4,0,4,1,0,0,98,38,0
44,2,165492,15,10,2,11,0,4,1,0,0,40,38,1
35,0,49657,9,13,2,9,0,4,1,7298,0,40,38,1
54,5,161334,12,14,3,9,1,1,0,0,0,40,2,0
17,2,286960,1,7,4,9,3,4,1,0,0,40,38,0
51,4,290290,9,13,2,9,0,4,1,0,0,45,38,1
24,2,70261,9,13,2,9,0,4,1,0,0,50,38,0
31,2,368517,7,12,4,9,1,1,1,0,0,40,38,0
24,5,289909,15,10,2,9,0,4,1,0,0,40,38,0
19,2,127190,11,9,4,7,3,4,0,0,0,15,38,0
32,2,162604,11,9,4,6,2,2,1,0,0,40,38,0
37,2,259284,11,9,4,13,1,2,1,0,0,50,38,0
35,1,38948,15,10,2,10,0,4,1,0,0,50,38,0
46,3,278322,9,13,2,11,0,4,1,0,0,45,38,0
38,4,140583,12,14,2,4,0,4,1,0,0,70,38,0
38,1,210991,9,13,2,2,0,4,1,0,1740,40,38,0
42,2,245565,9,13,4,9,3,4,0,0,0,12,8,0
39,2,680390,11,9,5,6,4,4,0,0,0,24,38,0
35,2,93225,11,9,2,2,0,4,1,0,0,40,38,0
34,4,49707,11,9,2,3,0,4,1,0,0,70,38,0
27,2,200500,5,4,2,13,0,4,1,0,0,45,38,0
25,2,176729,11,9,2,2,0,4,1,0,0,40,38,1
60,2,174486,11,9,6,6,1,4,0,0,0,40,38,0
35,2,30673,2,8,2,2,0,4,1,0,0,84,38,0
48,2,266764,15,10,2,2,0,4,1,0,0,45,38,1
31,2,272069,8,11,0,13,1,4,1,0,0,40,38,0
42,2,194636,11,9,2,11,0,4,1,0,0,40,38,0
20,2,447488,6,5,4,7,4,4,1,0,0,30,25,0
41,1,112763,12,14,0,9,4,4,0,7430,0,36,38,1
33,2,373662,3,2,3,8,1,4,0,0,0,40,12,0
62,2,159841,11,9,6,7,1,4,0,0,0,24,38,0
45,2,170092,15,10,0,7,1,4,0,0,0,50,38,0
21,2,152389,15,10,4,7,1,2,0,0,0,30,38,0
56,4,50791,12,14,0,11,1,4,1,0,1876,60,38,0
31,2,145377,9,13,2,11,0,4,1,0,0,60,38,0
19,2,472807,3,2,4,5,2,4,1,0,0,52,25,0
58,4,35551,9,13,2,3,0,4,1,0,0,70,38,1
30,2,177304,15,10,2,11,0,4,1,0,0,44,38,0
33,2,31481,9,13,3,7,4,4,0,0,0,24,38,0
53,5,195922,12,14,0,9,1,4,0,0,0,40,38,0
56,1,273084,12,14,2,3,0,2,1,0,0,40,38,1
42,2,182302,11,9,2,3,0,4,1,0,0,40,38,0
41,2,88368,11,9,4,11,1,4,0,0,0,50,38,0
39,2,380614,15,10,0,9,1,4,0,0,0,45,38,1
42,2,118947,9,13,2,3,0,4,1,0,0,40,38,1
32,2,288229,15,10,2,11,2,1,0,0,0,40,11,0
49,2,31267,5,4,2,2,0,4,1,0,0,40,38,0
23,2,375871,11,9,2,0,5,4,0,0,0,40,25,0
38,2,258761,11,9,0,3,1,4,1,0,0,50,38,0
59,4,170411,5,4,2,13,0,4,1,0,0,40,38,0
29,2,197288,11,9,2,0,5,2,0,0,0,40,38,0
42,5,293791,9,13,2,3,0,4,1,0,0,50,38,1
25,2,367306,15,10,4,0,3,4,0,0,0,40,38,0
34,0,223267,15,10,0,10,3,4,1,0,0,72,38,0
52,2,42924,2,8,2,2,0,4,1,0,0,45,38,0
67,2,105216,15,10,6,9,1,4,0,0,0,16,38,0
55,2,419732,15,10,0,7,4,4,0,0,0,38,38,0
48,2,188432,11,9,2,6,0,4,1,3103,0,46,38,1
37,1,328301,9,13,0,9,1,4,0,0,0,36,38,0
34,2,379412,11,9,2,2,0,4,1,0,0,50,38,0
31,2,111363,9,13,4,3,1,4,1,0,0,40,38,0
34,1,207383,12,14,6,9,1,4,0,0,0,40,38,0
30,2,97723,11,9,4,6,3,4,1,0,0,45,38,0
37,2,291981,11,9,0,6,1,4,1,0,0,40,38,0
19,2,361341,2,8,4,9,1,1,0,0,0,25,36,0
34,4,276221,0,6,2,4,0,4,1,0,0,40,38,0
34,2,196385,8,11,2,3,0,4,1,0,0,40,38,0
21,2,363192,8,11,4,7,3,4,0,0,0,40,38,0
35,1,103966,12,14,0,0,4,4,0,0,0,41,38,0
43,2,178780,15,10,2,3,0,4,1,0,0,49,38,1
53,2,133219,11,9,2,7,0,2,1,4386,0,30,38,1
52,2,145548,7,12,2,10,0,4,1,0,0,40,38,1
48,2,182541,9,13,2,9,0,4,1,15024,0,45,38,1
19,2,38619,1,7,4,6,1,4,1,0,0,10,38,0
18,1,55658,0,6,4,7,3,4,1,0,0,25,38,0
25,2,187502,11,9,4,11,3,2,1,0,0,24,38,0
35,2,117166,9,13,4,3,1,4,1,0,0,50,38,0
